model,ip_mode,after_task,task_category,accuracy_seen,current_task_recall,detection_rate_seen,ewc_gamma,ewc_lambda,ewc_stability_ratio,fpr_seen,macro_f1_seen,next_task_recall_before_training,retention_normalised,retention_rate,task0_accuracy,task0_macro_f1,train_seconds,train_steps,n_seeds
xgboost_static,none,0,BruteForce,0.999992790298626,1.0,1.0,,,,7.27685523424197e-06,0.999802944543727,0.0,1.0,1.0,0.999992790298626,0.999802944543727,6.309360901514689,1.0,3
xgboost_static,none,1,DoS,0.8592052014645878,0.0,0.0366909361921687,,,,9.812772304431448e-06,0.4973064724785719,0.0,1.0,1.0,0.999992790298626,0.999802944543727,0.0,0.0,3
xgboost_static,none,2,WebAttack,0.872462097367483,0.0,0.036665711830421,,,,8.7415643903633e-06,0.5011332405593244,0.0013386880856759,1.0,1.0,0.999992790298626,0.999802944543727,0.0,0.0,3
xgboost_static,none,3,Infiltration,0.8378695311335851,0.0013386880856759,0.0253583670925521,,,,3.108510324139914e-05,0.4804158237798312,0.0,1.0,1.0,0.999992790298626,0.999802944543727,0.0,0.0,3
xgboost_static,none,4,Botnet,0.8509769759531908,0.0,0.0253223641986112,,,,2.807736718527904e-05,0.4842689141583958,0.0,1.0,1.0,0.999992790298626,0.999802944543727,0.0,0.0,3
xgboost_static,none,5,PortScan,0.797106893168159,0.0,0.0161350286266636,,,,2.8971511347175283e-05,0.4592173643604367,0.0,1.0,1.0,0.999992790298626,0.999802944543727,0.0,0.0,3
xgboost_static,none,6,DDoS,0.7560670983609707,0.0,0.0126588432034068,,,,2.870895815190867e-05,0.4427969432709528,,1.0,1.0,0.999992790298626,0.999802944543727,0.0,0.0,3
gnn_naive,none,0,BruteForce,0.9999903870648345,1.0,1.0,,,,9.70247364565596e-06,0.999737310190303,0.0,1.0,1.0,0.9999903870648345,0.999737310190303,14.61410148938497,970.0,3
gnn_naive,none,1,DoS,0.9992012355712704,0.998720466583348,0.9987674138622944,,,,0.0007245096884771,0.9984014439673916,1.0,1.0,1.0,0.9999903870648345,0.999737310190303,10.734790643056234,700.0,3
gnn_naive,none,2,WebAttack,0.9962343857839532,1.0,0.9739138737706484,,,,0.0003598610674032,0.9916851805127684,0.0,0.9049479166666666,0.9049479166666666,0.9991204164323514,0.9720221528668986,2.7120747566223145,180.0,3
gnn_naive,none,3,Infiltration,0.961604827093227,0.974990872581234,0.7961332710086216,,,,0.0053829037113022,0.9253654063344868,0.0,0.4393229166666666,0.4393229166666666,0.9948114182443896,0.79823901507441,4.860400438308716,340.0,3
gnn_naive,none,4,Botnet,0.8470841360828992,0.6894977168949771,0.001931916162618,,,,0.0004024422629889,0.460512326794614,0.0,0.0,0.0,0.9907211143314444,0.4976694660947311,2.997673988342285,200.0,3
gnn_naive,none,5,PortScan,0.93701875247012,1.0,0.7108872200328814,,,,0.0042416438650141,0.8907509440325251,0.0005565834800006,0.45390625,0.45390625,0.9945903207355818,0.7974647640757593,6.694821834564209,380.0,3
gnn_naive,none,6,DDoS,0.9681089035348974,1.0,0.8812901260374839,,,,0.0034067963673597,0.9550885620239116,,0.75546875,0.75546875,0.9977337505347196,0.9028402276682096,3.3120638529459634,200.0,3
gnn_ewc_replay,none,0,BruteForce,0.9999903870648345,1.0,1.0,,,0.0099999997764825,9.70247364565596e-06,0.999737310190303,0.0,1.0,1.0,0.9999903870648345,0.999737310190303,16.059511105219524,970.0,3
gnn_ewc_replay,none,1,DoS,0.9993157437586055,0.999533813406336,0.999550918228898,,,0.0167748108506202,0.0007245096884771,0.998631290331013,1.0,1.0,1.0,0.9999903870648345,0.999737310190303,31.99540408452352,700.0,3
gnn_ewc_replay,none,2,WebAttack,0.9990683928575944,1.0,0.9985104554568892,,,0.0176790722956259,0.0008464748184667,0.997975753431672,0.0,1.0,1.0,0.9999903870648345,0.999737310190303,8.533059279123941,180.0,3
gnn_ewc_replay,none,3,Infiltration,0.9986319060669082,0.997322623828648,0.9990651293237768,,,0.0210164785385131,0.0014545237891704,0.997540209901868,0.0,1.0,1.0,0.9999879838310431,0.9996716758368792,16.955818732579548,340.0,3
gnn_ewc_replay,none,4,Botnet,0.9990396736674356,0.958904109589041,0.9998055117957096,,,0.0202866358061631,0.001098526991124,0.9981508134625852,0.9999658434948936,1.0,1.0,0.999771692789818,0.9938390216629718,10.3918354511261,200.0,3
gnn_ewc_replay,none,5,PortScan,0.9990255802226856,0.9999658434948936,0.999091217025636,,,0.0251341809829075,0.0009914694994366,0.9985133664897452,0.6675090632850459,1.0,1.0,0.999968757960712,0.9991475130696872,23.082855463027958,380.0,3
gnn_ewc_replay,none,6,DDoS,0.9994795969999168,1.0,0.9998087885947258,,,0.0293447126944858,0.0006284071951028,0.9993009761778144,,1.0,1.0,0.9999879838310431,0.9996717265760808,12.382195472717283,200.0,3
ffnn_ewc_replay,none,0,BruteForce,0.999980774129669,1.0,1.0,,,0.0099999997764825,1.9404947291311923e-05,0.9994750769744212,0.0,1.0,1.0,0.999980774129669,0.9994750769744212,27.4936142762502,4740.0,3
ffnn_ewc_replay,none,1,DoS,0.999870130958266,0.999563569997421,0.999579583022798,,,0.0100000038122136,8.013764048619016e-05,0.9997398228537778,0.0,1.0,1.0,0.9999423223890066,0.9984281659813352,38.81144046783447,3390.0,3
ffnn_ewc_replay,none,2,WebAttack,0.999239040027506,0.9583333333333334,0.9993125179031797,,,0.0133818813289204,0.0007721715211487,0.9983506484578052,0.0008113261125309,1.0,1.0,0.9992117393164244,0.980329800664355,12.20138136545817,850.0,3
