model,ip_mode,after_task,task_category,accuracy_seen,macro_f1_seen,fpr_seen,detection_rate_seen,retention_rate,retention_normalised,task0_accuracy,task0_macro_f1,current_task_recall,next_task_recall_before_training,train_seconds,train_steps,ewc_stability_ratio,ewc_lambda,ewc_gamma
xgboost_static,none,0,BruteForce,0.999992790298626,0.999802944543727,7.27685523424197e-06,1.0,1.0,1.0,0.999992790298626,0.999802944543727,1.0,0.0,8.973022937774658,1,,,
xgboost_static,none,1,DoS,0.8592052014645877,0.4973064724785719,9.812772304431448e-06,0.0366909361921687,1.0,1.0,0.999992790298626,0.999802944543727,0.0,0.0,0.0,0,,,
xgboost_static,none,2,WebAttack,0.872462097367483,0.5011332405593244,8.7415643903633e-06,0.036665711830421,1.0,1.0,0.999992790298626,0.999802944543727,0.0,0.001338688085676,0.0,0,,,
xgboost_static,none,3,Infiltration,0.8378695311335851,0.4804158237798312,3.108510324139914e-05,0.0253583670925521,1.0,1.0,0.999992790298626,0.999802944543727,0.001338688085676,0.0,0.0,0,,,
xgboost_static,none,4,Botnet,0.8509769759531908,0.4842689141583958,2.807736718527904e-05,0.0253223641986113,1.0,1.0,0.999992790298626,0.999802944543727,0.0,0.0,0.0,0,,,
xgboost_static,none,5,PortScan,0.797106893168159,0.4592173643604367,2.897151134717528e-05,0.0161350286266636,1.0,1.0,0.999992790298626,0.999802944543727,0.0,0.0,0.0,0,,,
xgboost_static,none,6,DDoS,0.7560670983609707,0.4427969432709528,2.870895815190867e-05,0.0126588432034068,1.0,1.0,0.999992790298626,0.999802944543727,0.0,,0.0,0,,,
gnn_naive,none,0,BruteForce,0.999992790298626,0.999802944543727,7.27685523424197e-06,1.0,1.0,1.0,0.999992790298626,0.999802944543727,1.0,0.0,16.672026872634888,970,,,
gnn_naive,none,1,DoS,0.9988898291593704,0.9977764111681446,0.0006967068336146,0.9964742303502838,1.0,1.0,0.999992790298626,0.999802944543727,0.9963399392965542,1.0,14.521990776062012,700,,,
gnn_naive,none,2,WebAttack,0.9956769383622422,0.990472449318026,0.000266617713906,0.9690919507304496,0.99921875,0.99921875,0.999992790298626,0.9998027919690512,1.0,0.0,3.683939695358277,180,,,
gnn_naive,none,3,Infiltration,0.9625755583054209,0.9275992693340188,0.0058362281335726,0.8042419756933624,0.50546875,0.50546875,0.9954218396274026,0.8342543919261753,0.9950103444079348,0.0,6.1616504192352295,340,,,
gnn_naive,none,4,Botnet,0.8472694622172537,0.4598369916547123,4.913539257423831e-05,0.0011863780461714,0.0,0.0,0.9906850658245736,0.4976603697050472,0.6575342465753424,0.0,4.303820371627808,200,,,
gnn_naive,none,5,PortScan,0.913038145467926,0.8426470755259223,0.0036085626911314,0.5921505936005155,0.54453125,0.54453125,0.9954939366411444,0.8440856311902227,1.0,0.0,8.548325061798096,380,,,
gnn_naive,none,6,DDoS,0.9866216397978594,0.981825160733881,0.0037066454858353,0.957142718248374,0.9984375,0.9984375,0.9999783708958776,0.9994083759071536,1.0,,4.129268169403076,200,,,
gnn_ewc_replay,none,0,BruteForce,0.999992790298626,0.999802944543727,7.27685523424197e-06,1.0,1.0,1.0,0.999992790298626,0.999802944543727,1.0,0.0,19.25943088531494,970,0.0099999997764825,,
gnn_ewc_replay,none,1,DoS,0.9993674120870374,0.998734866191238,0.0007261451505279,0.9999140056182996,1.0,1.0,0.9999855805972516,0.9996060414834552,0.9999107302267451,1.0,33.75209641456604,700,0.0182842873036861,,
gnn_ewc_replay,none,2,WebAttack,0.9990936739198034,0.998029573197234,0.0007299206265953,0.9979375537095388,1.0,1.0,0.9999855805972516,0.9996060414834552,1.0,0.0,9.063865423202516,180,0.0188935808837413,,
gnn_ewc_replay,none,3,Infiltration,0.9990962157679576,0.9983722306390698,0.0008082126842763,0.9986171704580866,1.0,1.0,0.9999855805972516,0.9996060414834552,0.995923086284532,0.0,19.4191312789917,340,0.0177499819546937,,
gnn_ewc_replay,none,4,Botnet,0.9990664319862996,0.9982021114312856,0.0010844883075314,0.9999027558978548,1.0,1.0,0.9997332410491556,0.9928090758677012,0.9863013698630136,0.9999658434948936,10.258938074111938,200,0.0167920738458633,,
gnn_ewc_replay,none,5,PortScan,0.9994276135573816,0.999126601979586,0.0007017543859649,0.9999256450293702,1.0,1.0,0.9999711611945034,0.999212691837611,0.9999658434948936,1.0,20.70758891105652,380,0.0214120242744684,,
