model,ip_mode,after_task,task_category,accuracy_seen,current_task_recall,detection_rate_seen,ewc_gamma,ewc_lambda,ewc_stability_ratio,fpr_seen,macro_f1_seen,next_task_recall_before_training,retention_normalised,retention_rate,task0_accuracy,task0_macro_f1,train_seconds,train_steps,n_seeds
xgboost_static,none,0,BruteForce,0.999992790298626,1.0,1.0,,,,7.27685523424197e-06,0.999802944543727,0.0,1.0,1.0,0.999992790298626,0.999802944543727,6.309360901514689,1.0,3
xgboost_static,none,1,DoS,0.8592052014645878,0.0,0.0366909361921687,,,,9.812772304431448e-06,0.4973064724785719,0.0,1.0,1.0,0.999992790298626,0.999802944543727,0.0,0.0,3
xgboost_static,none,2,WebAttack,0.872462097367483,0.0,0.036665711830421,,,,8.7415643903633e-06,0.5011332405593244,0.0013386880856759997,1.0,1.0,0.999992790298626,0.999802944543727,0.0,0.0,3
xgboost_static,none,3,Infiltration,0.8378695311335851,0.0013386880856759997,0.0253583670925521,,,,3.108510324139914e-05,0.4804158237798312,0.0,1.0,1.0,0.999992790298626,0.999802944543727,0.0,0.0,3
xgboost_static,none,4,Botnet,0.8509769759531908,0.0,0.025322364198611298,,,,2.807736718527904e-05,0.4842689141583958,0.0,1.0,1.0,0.999992790298626,0.999802944543727,0.0,0.0,3
xgboost_static,none,5,PortScan,0.797106893168159,0.0,0.0161350286266636,,,,2.8971511347175283e-05,0.4592173643604367,0.0,1.0,1.0,0.999992790298626,0.999802944543727,0.0,0.0,3
xgboost_static,none,6,DDoS,0.7560670983609707,0.0,0.0126588432034068,,,,2.870895815190867e-05,0.4427969432709528,,1.0,1.0,0.999992790298626,0.999802944543727,0.0,0.0,3
gnn_naive,none,0,BruteForce,0.9999903870648345,1.0,1.0,,,,9.70247364565596e-06,0.999737310190303,0.0,1.0,1.0,0.9999903870648345,0.999737310190303,14.61410148938497,970.0,3
gnn_naive,none,1,DoS,0.9992012355712703,0.9987204665833481,0.9987674138622943,,,,0.0007245096884771334,0.9984014439673915,1.0,1.0,1.0,0.9999903870648345,0.999737310190303,10.734790643056234,700.0,3
gnn_naive,none,2,WebAttack,0.9962343857839531,1.0,0.9739138737706483,,,,0.00035986106740323545,0.9916851805127683,0.0,0.9049479166666666,0.9049479166666666,0.9991204164323514,0.9720221528668986,2.7120747566223145,180.0,3
gnn_naive,none,3,Infiltration,0.961604827093227,0.9749908725812341,0.7961332710086216,,,,0.0053829037113022,0.9253654063344868,0.0,0.4393229166666666,0.4393229166666666,0.9948114182443897,0.79823901507441,4.860400438308716,340.0,3
gnn_naive,none,4,Botnet,0.8470841360828992,0.6894977168949771,0.0019319161626180001,,,,0.00040244226298897243,0.46051232679461407,0.0,0.0,0.0,0.9907211143314444,0.4976694660947311,2.997673988342285,200.0,3
gnn_naive,none,5,PortScan,0.9370187524701201,1.0,0.7108872200328814,,,,0.004241643865014134,0.8907509440325251,0.0005565834800006,0.45390625,0.45390625,0.9945903207355818,0.7974647640757593,6.694821834564209,380.0,3
gnn_naive,none,6,DDoS,0.9681089035348974,1.0,0.8812901260374839,,,,0.0034067963673597664,0.9550885620239115,,0.75546875,0.75546875,0.9977337505347196,0.9028402276682096,3.3120638529459634,200.0,3
gnn_ewc_replay,none,0,BruteForce,0.9999903870648345,1.0,1.0,,,0.0099999997764825,9.70247364565596e-06,0.999737310190303,0.0,1.0,1.0,0.9999903870648345,0.999737310190303,16.059511105219524,970.0,3
gnn_ewc_replay,none,1,DoS,0.9993157437586055,0.9995338134063361,0.999550918228898,,,0.01677481085062023,0.0007245096884771334,0.998631290331013,1.0,1.0,1.0,0.9999903870648345,0.999737310190303,31.995404084523518,700.0,3
gnn_ewc_replay,none,2,WebAttack,0.9990683928575943,1.0,0.9985104554568892,,,0.017679072295625934,0.0008464748184667999,0.9979757534316719,0.0,1.0,1.0,0.9999903870648345,0.999737310190303,8.533059279123941,180.0,3
gnn_ewc_replay,none,3,Infiltration,0.9986319060669082,0.9973226238286479,0.9990651293237768,,,0.02101647853851313,0.0014545237891704,0.9975402099018679,0.0,1.0,1.0,0.9999879838310431,0.9996716758368791,16.955818732579548,340.0,3
gnn_ewc_replay,none,4,Botnet,0.9990396736674357,0.958904109589041,0.9998055117957096,,,0.020286635806163102,0.0010985269911240334,0.9981508134625853,0.9999658434948936,1.0,1.0,0.9997716927898179,0.9938390216629718,10.391835451126099,200.0,3
gnn_ewc_replay,none,5,PortScan,0.9990255802226855,0.9999658434948936,0.999091217025636,,,0.025134180982907567,0.0009914694994366334,0.9985133664897452,0.6675090632850459,1.0,1.0,0.9999687579607119,0.9991475130696873,23.082855463027954,380.0,3
gnn_ewc_replay,none,6,DDoS,0.9994795969999167,1.0,0.9998087885947258,,,0.029344712694485898,0.0006284071951028,0.9993009761778145,,1.0,1.0,0.9999879838310433,0.9996717265760809,12.382195472717285,200.0,3
ffnn_ewc_replay,none,0,BruteForce,0.999980774129669,1.0,1.0,,,0.0099999997764825,1.9404947291311923e-05,0.9994750769744213,0.0,1.0,1.0,0.999980774129669,0.9994750769744213,27.493614276250202,4740.0,3
ffnn_ewc_replay,none,1,DoS,0.9998701309582659,0.999563569997421,0.9995795830227981,,,0.010000003812213666,8.013764048619016e-05,0.9997398228537778,0.0,1.0,1.0,0.9999423223890066,0.9984281659813353,38.81144046783447,3390.0,3
