model,ip_mode,after_task,task_category,accuracy_seen,macro_f1_seen,fpr_seen,detection_rate_seen,retention_rate,retention_normalised,task0_accuracy,task0_macro_f1,current_task_recall,next_task_recall_before_training,train_seconds,train_steps,ewc_stability_ratio,ewc_lambda,ewc_gamma,seed
xgboost_static,none,0,BruteForce,0.999992790298626,0.999802944543727,7.27685523424197e-06,1.0,1.0,1.0,0.999992790298626,0.999802944543727,1.0,0.0,4.726238250732422,1,,,,42
xgboost_static,none,1,DoS,0.8592052014645877,0.4973064724785719,9.812772304431448e-06,0.0366909361921687,1.0,1.0,0.999992790298626,0.999802944543727,0.0,0.0,0.0,0,,,,42
xgboost_static,none,2,WebAttack,0.872462097367483,0.5011332405593244,8.7415643903633e-06,0.036665711830421,1.0,1.0,0.999992790298626,0.999802944543727,0.0,0.001338688085676,0.0,0,,,,42
xgboost_static,none,3,Infiltration,0.8378695311335851,0.4804158237798312,3.108510324139914e-05,0.0253583670925521,1.0,1.0,0.999992790298626,0.999802944543727,0.001338688085676,0.0,0.0,0,,,,42
xgboost_static,none,4,Botnet,0.8509769759531908,0.4842689141583958,2.807736718527904e-05,0.0253223641986113,1.0,1.0,0.999992790298626,0.999802944543727,0.0,0.0,0.0,0,,,,42
xgboost_static,none,5,PortScan,0.797106893168159,0.4592173643604367,2.897151134717528e-05,0.0161350286266636,1.0,1.0,0.999992790298626,0.999802944543727,0.0,0.0,0.0,0,,,,42
xgboost_static,none,6,DDoS,0.7560670983609707,0.4427969432709528,2.870895815190867e-05,0.0126588432034068,1.0,1.0,0.999992790298626,0.999802944543727,0.0,,0.0,0,,,,42
gnn_naive,none,0,BruteForce,0.999992790298626,0.999802944543727,7.27685523424197e-06,1.0,1.0,1.0,0.999992790298626,0.999802944543727,1.0,0.0,14.746764659881592,970,,,,42
gnn_naive,none,1,DoS,0.999338086819549,0.998676327387538,0.0007604898535934,0.9999140056182996,1.0,1.0,0.9999855805972516,0.9996060414834552,0.9999107302267451,1.0,9.64859938621521,700,,,,42
gnn_naive,none,2,WebAttack,0.9988813129972468,0.9975664086246456,0.0007430329731808,0.9964193640790604,1.0,1.0,0.999992790298626,0.999802944543727,1.0,0.0,2.659700393676758,180,,,,42
gnn_naive,none,3,Infiltration,0.9590705599574996,0.9201591288221064,0.0061004515111245,0.784492832658149,0.54453125,0.54453125,0.9957751149947368,0.8509563876830346,0.930753316295485,0.0,4.717622995376587,340,,,,42
gnn_naive,none,4,Botnet,0.8472694622172537,0.4597215164014046,2.807736718527904e-05,0.0010696851235972,0.0,0.0,0.9907211143314444,0.4976694662045437,0.7534246575342466,0.0,2.7604851722717285,200,,,,42
gnn_naive,none,5,PortScan,0.9591816918107854,0.9335136962790986,0.0044616127474649,0.8192182814087788,0.54453125,0.54453125,0.9955804530576344,0.8461715654595184,1.0,0.0016697504400018,6.818552255630493,380,,,,42
gnn_naive,none,6,DDoS,0.959725611513556,0.9430358207735692,0.0032632515766002,0.8469174452859907,0.26796875,0.26796875,0.9932373001110294,0.7095062656140202,1.0,,3.479214668273926,200,,,,42
gnn_ewc_replay,none,0,BruteForce,0.999992790298626,0.999802944543727,7.27685523424197e-06,1.0,1.0,1.0,0.999992790298626,0.999802944543727,1.0,0.0,18.280458450317383,970,0.0099999997764825,,,42
gnn_ewc_replay,none,1,DoS,0.9992165964256688,0.9984325018910358,0.0007163323782234,0.9988247434500946,1.0,1.0,0.999992790298626,0.999802944543727,0.998779979765518,1.0,37.12880539894104,700,0.0163286905735731,,,42
gnn_ewc_replay,none,2,WebAttack,0.9990443758484956,0.9979222692868996,0.000747403755376,0.9976797479232312,1.0,1.0,0.999992790298626,0.999802944543727,1.0,0.0,9.303377389907835,180,0.0193552635610103,,,42
gnn_ewc_replay,none,3,Infiltration,0.9984386236564712,0.9971943913233272,0.0017835077984752,0.9995520411343096,1.0,1.0,0.999992790298626,0.999802944543727,0.9988438602896434,0.0,17.90133571624756,340,0.0233038198202848,,,42
gnn_ewc_replay,none,4,Botnet,0.9992775253906716,0.9986075455935272,0.0007861662811878,0.9996304724118482,1.0,1.0,0.9998630156738908,0.9962818342540728,0.9041095890410958,0.9999658434948936,11.704272270202637,200,0.0240159407258033,,,42
gnn_ewc_replay,none,5,PortScan,0.999348399362198,0.999005816405394,0.0007822308063737,0.9998512900587404,1.0,1.0,0.9999495320903808,0.9986238058879958,0.9999658434948936,1.0,22.69023633003235,380,0.0283967852592468,,,42
gnn_ewc_replay,none,6,DDoS,0.9994908056799184,0.999316044023861,0.0006284071951028,0.9998541607925876,1.0,1.0,0.999992790298626,0.999802944543727,1.0,,13.026936292648315,200,0.0355571061372756,,,42
ffnn_ewc_replay,none,0,BruteForce,0.9999639514931292,0.9990162448960817,3.638427617120985e-05,1.0,1.0,1.0,0.9999639514931292,0.9990162448960817,1.0,0.0,25.418811798095703,4740,0.0099999997764825,,,42
ffnn_ewc_replay,none,1,DoS,0.9998826989300468,0.9997649905726018,5.887663382658869e-05,0.999541363297598,1.0,1.0,0.9999495320903808,0.9986238058879958,0.9995238945426412,0.0,36.04539704322815,3390,0.0099999997764825,,,42
ffnn_ewc_replay,none,2,WebAttack,0.999772470440118,0.9995047499346464,0.0001267526836602,0.999112002291607,1.0,1.0,0.9998774350766392,0.9966706624495064,0.9166666666666666,0.0007301935012778,8.143853902816772,850,0.0131073994562029,,,42
ffnn_ewc_replay,none,3,Infiltration,0.9988176299473278,0.9978724009931988,0.001200662112699,0.9989093175444064,1.0,1.0,0.9990699485227322,0.9757785990954336,0.997991967871486,0.0,13.83586072921753,1670,0.0119582433253526,,,42
ffnn_ewc_replay,none,4,Botnet,0.9991407606498108,0.9983423453033898,0.0006527987870577,0.9979967714958088,1.0,1.0,0.9993583365776988,0.98303924552736,1.0,0.9909485261468046,7.509215354919434,980,0.020302040502429,,,42
ffnn_ewc_replay,none,5,PortScan,0.9992794063534896,0.9988996681822624,0.0005440206019636,0.998599648053139,1.0,1.0,0.9994592723969372,0.9856320226706494,0.9990094613519144,0.9804142786226816,18.426761627197266,1820,0.0282718371599912,,,42
ffnn_ewc_replay,none,6,DDoS,0.9993851238399016,0.9991737134684722,0.000475292751626,0.9989596803204572,1.0,1.0,0.999661144035414,0.9909002897684578,1.0,,9.859616994857788,970,0.035444650799036,,,42
ffnn_naive,none,0,BruteForce,0.9999639514931292,0.9990162448960817,3.638427617120985e-05,1.0,1.0,1.0,0.9999639514931292,0.9990162448960817,1.0,0.0,21.44721722602844,4740,,,,42
ffnn_naive,none,1,DoS,0.9945664468668046,0.98894730285764,6.868940613102014e-05,0.9632230694261308,0.0,0.0,0.9907283240328184,0.4976712854649099,0.9999107302267451,0.0,13.94531226158142,3390,,,,42
ffnn_naive,none,2,WebAttack,0.8764097352314355,0.5295829456546295,0.0001005279904891,0.0670867946147235,0.44765625,0.44765625,0.9948090150105984,0.8057674201321057,0.9583333333333334,0.0,3.419790506362915,850,,,,42
ffnn_naive,none,3,Infiltration,0.8911409709039786,0.7265150469990393,0.0002137100847846,0.34656435026488,0.534375,0.534375,0.9955516142521376,0.8434642713323908,0.9983570646221248,0.0,8.39051866531372,1670,,,,42
ffnn_naive,none,4,Botnet,0.847343790880765,0.4600902540999394,3.50967089815988e-06,0.0014197638913199,0.0,0.0,0.9907715822410637,0.4976822007503875,1.0,0.0,4.942110300064087,980,,,,42
ffnn_naive,none,5,PortScan,0.91156373931886,0.8372193803440429,0.0001480766135522,0.5716781916871143,0.0078125,0.0078125,0.9908076307479344,0.5054131369499576,0.9995218089285104,0.1476149645742136,7.197500705718994,1820,,,,42
ffnn_naive,none,6,DDoS,0.8790615452606498,0.8012046472298588,0.000695394764124,0.5125664783720455,0.00390625,0.00390625,0.9906706464218252,0.5014910019709228,1.0,,4.060998916625977,970,,,,42
gnn_replay,none,0,BruteForce,0.999992790298626,0.999802944543727,7.27685523424197e-06,1.0,1.0,1.0,0.999992790298626,0.999802944543727,1.0,0.0,24.009326934814453,970,,,,42
gnn_replay,none,1,DoS,0.9983158917813844,0.9966104556089016,3.434470306551007e-05,0.988677406409448,1.0,1.0,0.999992790298626,0.999802944543727,0.9882461465214544,1.0,37.36216163635254,700,,,,42
gnn_replay,none,2,WebAttack,0.9973644492647004,0.9942170186962684,7.430329731808805e-05,0.980578630764824,1.0,1.0,0.999992790298626,0.999802944543727,1.0,0.0,9.612072944641112,180,,,,42
gnn_replay,none,3,Infiltration,0.9990962157679576,0.9983717744529316,0.0007382712019832,0.998266593954503,1.0,1.0,0.999956741791755,0.9988199496386384,0.9948277960326152,0.0,17.56338882446289,340,,,,42
gnn_replay,none,4,Botnet,0.9991556263825132,0.9983730832219074,0.000923043446216,0.99959157477099,1.0,1.0,0.9997548701532782,0.9933845538813008,1.0,0.9999658434948936,8.857815742492676,200,,,,42
gnn_replay,none,5,PortScan,0.9993509546588168,0.9990097559572676,0.0007951070336391,0.9999132525342652,1.0,1.0,0.9999711611945034,0.999212691837611,0.9999658434948936,1.0,14.009934902191162,380,,,,42
gnn_replay,none,6,DDoS,0.9995148242799224,0.9993482933443696,0.00060288812119,0.9998736060202424,1.0,1.0,0.999992790298626,0.999802944543727,1.0,,8.65035605430603,200,,,,42
gnn_joint,none,0,BruteForce,0.999992790298626,0.999802944543727,7.27685523424197e-06,1.0,1.0,1.0,0.999992790298626,0.999802944543727,1.0,0.0,11.312974214553831,970,,,,42
gnn_joint,none,1,DoS,0.9971303131100704,0.9942049279254026,4.415747536994152e-05,0.9806225993235108,1.0,1.0,0.999992790298626,0.999802944543727,0.9798845444265905,1.0,21.44326043128968,1670,,,,42
gnn_joint,none,2,WebAttack,0.9984565911521338,0.9966248481909774,4.807860414699815e-05,0.9886565454024636,1.0,1.0,0.999992790298626,0.999802944543727,0.9583333333333334,0.0,30.617006301879883,1850,,,,42
gnn_joint,none,3,Infiltration,0.9957369890703656,0.9922568757532912,0.0007266142882677,0.9780110626363352,1.0,1.0,0.9999855805972516,0.9996060414834552,0.931422660338323,0.0,29.500338315963745,2190,,,,42
gnn_joint,none,4,Botnet,0.9965600694527031,0.9933009809175476,0.0001193288105374,0.978158974658187,1.0,1.0,0.999992790298626,0.999802944543727,0.684931506849315,0.9999658434948936,33.0266695022583,2390,,,,42
gnn_joint,none,5,PortScan,0.9968365427858866,0.9951482465819882,0.0005504587155963,0.9867772077230028,1.0,1.0,0.999992790298626,0.999802944543727,0.9999658434948936,0.996615370729726,43.38738679885864,2770,,,,42
gnn_joint,none,6,DDoS,0.9970192917395232,0.9959822059913536,0.0005614196260817,0.989645416273711,1.0,1.0,0.999992790298626,0.999802944543727,1.0,,47.33811068534851,2970,,,,42
ffnn_joint,none,0,BruteForce,0.9999639514931292,0.9990162448960817,3.638427617120985e-05,1.0,1.0,1.0,0.9999639514931292,0.9990162448960817,1.0,0.0,27.522976398468018,4740,,,,42
ffnn_joint,none,1,DoS,0.999953917436804,0.999907684737934,3.925108921772579e-05,0.9999140056182996,1.0,1.0,0.9999711611945034,0.999212691837611,0.9999107302267451,0.0,48.531336069107056,8130,,,,42
ffnn_joint,none,2,WebAttack,0.99991657249471,0.9998183862653032,2.185391097590825e-05,0.9995130335147522,1.0,1.0,0.9999783708958776,0.999409290640789,0.9166666666666666,0.0003650967506389,44.05348062515259,8970,,,,42
ffnn_joint,none,3,Infiltration,0.999484940168836,0.9990715225762148,0.0003535930493709,0.9986755998753506,1.0,1.0,0.9998558059725168,0.9960876440837568,0.997991967871486,0.0,32.85416841506958,10640,,,,42
ffnn_joint,none,4,Botnet,0.9996105178032016,0.9992482591773836,0.0002737543300564,0.9989692125172608,1.0,1.0,0.9998341768683942,0.9955059672016012,1.0,0.9796085664514806,34.36834979057312,11610,,,,42
ffnn_joint,none,5,PortScan,0.9997700233043052,0.9996487046316244,0.0001094479317559,0.999306020274122,1.0,1.0,0.9999711611945034,0.999212691837611,0.9992485568876592,0.9991876889751342,41.18487477302551,13430,,,,42
ffnn_joint,none,6,DDoS,0.9997814307399652,0.999706212838204,9.888641141212986e-05,0.99941664317035,1.0,1.0,0.9999783708958776,0.999409290640789,1.0,,50.95601224899292,14400,,,,42
gnn_ewc,none,0,BruteForce,0.999992790298626,0.999802944543727,7.27685523424197e-06,1.0,1.0,1.0,0.999992790298626,0.999802944543727,1.0,0.0,34.04493021965027,970,0.1000000014901161,100.0,0.9,42
gnn_ewc,none,1,DoS,0.9993674120870374,0.998734866191238,0.0007261451505279,0.9999140056182996,1.0,1.0,0.9999855805972516,0.9996060414834552,0.9999107302267451,1.0,41.03736639022827,700,0.1609840244054794,100.0,0.9,42
gnn_ewc,none,2,WebAttack,0.9987637560579744,0.99731980248401,0.0014248749956292,1.0,1.0,1.0,0.999062738821358,0.9755998215163032,1.0,0.0,11.089110374450684,180,0.241125226020813,100.0,0.9,42
gnn_ewc,none,3,Infiltration,0.989170786065526,0.9809633907777028,0.0129391742242323,0.9997468058585228,1.0,1.0,0.9921414255021556,0.8486940930168181,0.9993915054156018,0.0,20.53427243232727,340,0.2209123224020004,100.0,0.9,42
gnn_ewc,none,4,Botnet,0.8707959707918084,0.5988135140545344,5.264506347239819e-05,0.1551043429216018,0.0,0.0,0.9907283240328184,0.4976712854649099,0.9041095890410958,0.0,12.16695523262024,200,0.1988429278135299,100.0,0.9,42
gnn_ewc,none,5,PortScan,0.972034833803508,0.9555988532823664,0.0045066795428939,0.8817260267182194,1.0,1.0,0.9993583365776988,0.98303924552736,1.0,0.0235118913308362,23.45607089996338,380,0.251578152179718,100.0,0.9,42
gnn_ewc,none,6,DDoS,0.996286724439406,0.9950286851625312,0.0043733312918074,0.9982985425801872,1.0,1.0,0.9995169500079308,0.9871258941460144,1.0,,10.867249250411987,200,0.2919723987579345,100.0,0.9,42
xgboost_static,none,0,BruteForce,0.999992790298626,0.999802944543727,7.27685523424197e-06,1.0,1.0,1.0,0.999992790298626,0.999802944543727,1.0,0.0,5.228821516036987,1,,,,43
xgboost_static,none,1,DoS,0.8592052014645877,0.4973064724785719,9.812772304431448e-06,0.0366909361921687,1.0,1.0,0.999992790298626,0.999802944543727,0.0,0.0,0.0,0,,,,43
xgboost_static,none,2,WebAttack,0.872462097367483,0.5011332405593244,8.7415643903633e-06,0.036665711830421,1.0,1.0,0.999992790298626,0.999802944543727,0.0,0.001338688085676,0.0,0,,,,43
