model,ip_mode,after_task,task_category,accuracy_seen,current_task_recall,detection_rate_seen,ewc_gamma,ewc_lambda,ewc_stability_ratio,fpr_seen,macro_f1_seen,next_task_recall_before_training,retention_normalised,retention_rate,task0_accuracy,task0_macro_f1,train_seconds,train_steps
xgboost_static,none,0,BruteForce,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3204458768091323,0.0
xgboost_static,none,1,DoS,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xgboost_static,none,2,WebAttack,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xgboost_static,none,3,Infiltration,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xgboost_static,none,4,Botnet,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xgboost_static,none,5,PortScan,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xgboost_static,none,6,DDoS,0.0,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
gnn_naive,none,0,BruteForce,4.162523029252953e-06,0.0,0.0,,,,4.2012943283435384e-06,0.00011368203485215262,0.0,0.0,0.0,4.162523029252953e-06,0.00011368203485215262,2.1273615832335486,0.0
gnn_naive,none,1,DoS,0.00027034396856088783,0.0020615971047656147,0.001985955176940697,,,,3.266832887742133e-05,0.0005426009042058178,0.0,0.0,0.0,4.162523029252953e-06,0.00011368203485215262,3.3777318753120156,0.0
gnn_naive,none,2,WebAttack,0.0024169088832515667,0.0,0.020523846948818644,,,,0.0003461022954098894,0.005378402389182879,0.0,0.16395892067609755,0.16395892067609755,0.0015109958595827503,0.048117610525268605,0.9467648736633558,0.0
gnn_naive,none,3,Infiltration,0.002214664036116441,0.03836832191548439,0.010337408750290322,,,,0.0010225750919431085,0.004523865464002548,0.0,0.14967684374038404,0.14967684374038404,0.0013746224189286897,0.07729724953493348,1.2360613925607904,0.0
gnn_naive,none,4,Botnet,0.0003209942806723528,0.055362354579827106,0.0013935908841905484,,,,0.0006302701877940166,0.0012710313437237694,0.0,0.0,0.0,3.604850687077832e-05,9.096334778175036e-06,1.2051861245353226,0.0
gnn_naive,none,5,PortScan,0.02312541143568537,0.0,0.1138909151326656,,,,0.000556704520955035,0.04566816543230913,0.0009640308660145353,0.1569671044359295,0.1569671044359295,0.0016406044723750288,0.08256277046238342,1.9183634080165932,0.0
