model,alpha,category,n,coverage,abstain_rate,threshold
gnn_ewc_replay,0.01,Benign,313491,0.98903636787021,0.048575557193029466,0.0021372437477111816
gnn_ewc_replay,0.01,BruteForce,1280,0.64765625,0.66015625,0.000891268253326416
gnn_ewc_replay,0.01,DoS,33606,0.9916681544962209,0.7148425876331608,0.7490957975387573
gnn_ewc_replay,0.01,WebAttack,24,1.0,1.0,
gnn_ewc_replay,0.01,Infiltration,16434,0.8633321163441645,0.023244493124011195,0.00253450870513916
gnn_ewc_replay,0.01,Botnet,73,0.9041095890410958,0.9041095890410958,0.9999998807907104
gnn_ewc_replay,0.01,PortScan,29277,0.8486183693684463,0.029442907401714655,0.00019115209579467773
gnn_ewc_replay,0.01,DDoS,22159,0.973419378130782,0.022338553183807935,2.110004425048828e-05
gnn_ewc_replay,0.05,Benign,313491,0.9512585688265373,0.03735992420835048,1.6689300537109375e-06
gnn_ewc_replay,0.05,BruteForce,1280,0.5578125,0.5703125,0.0008229613304138184
gnn_ewc_replay,0.05,DoS,33606,0.9894364101648515,0.7148425876331608,0.6542388200759888
gnn_ewc_replay,0.05,WebAttack,24,1.0,1.0,
gnn_ewc_replay,0.05,Infiltration,16434,0.8627236217597664,0.08725812340270171,0.002247750759124756
gnn_ewc_replay,0.05,Botnet,73,0.9041095890410958,0.9041095890410958,0.9999998807907104
gnn_ewc_replay,0.05,PortScan,29277,0.8460907879905728,0.02691532602384124,0.00017201900482177734
gnn_ewc_replay,0.05,DDoS,22159,0.903109346089625,0.09264858522496502,1.1444091796875e-05
gnn_ewc_replay,0.1,Benign,313491,0.9188302056518369,0.0808284767345793,1.1920928955078125e-07
gnn_ewc_replay,0.1,BruteForce,1280,0.546875,0.453125,0.0007968544960021973
gnn_ewc_replay,0.1,DoS,33606,0.9886032256144736,0.011307504612271618,0.5059963464736938
gnn_ewc_replay,0.1,WebAttack,24,0.9583333333333334,0.041666666666666664,
gnn_ewc_replay,0.1,Infiltration,16434,0.8623585250091275,0.1373372276986735,0.0019768476486206055
gnn_ewc_replay,0.1,Botnet,73,0.8904109589041096,0.0136986301369863,0.12506818771362305
gnn_ewc_replay,0.1,PortScan,29277,0.8453051883731256,0.15469481162687435,0.00016450881958007812
gnn_ewc_replay,0.1,DDoS,22159,0.7365404576018774,0.26345954239812264,7.152557373046875e-06
ffnn_ewc_replay,0.01,Benign,313491,0.989824269277268,0.009524994337955476,0.005886852741241455
ffnn_ewc_replay,0.01,BruteForce,1280,0.98671875,0.01328125,1.1920928955078125e-07
ffnn_ewc_replay,0.01,DoS,33606,0.993632089507826,0.006010831399154913,0.0016805529594421387
ffnn_ewc_replay,0.01,WebAttack,24,0.9583333333333334,0.041666666666666664,
ffnn_ewc_replay,0.01,Infiltration,16434,0.9394547888523792,0.09541195083363758,0.8276010155677795
ffnn_ewc_replay,0.01,Botnet,73,0.9863013698630136,0.0136986301369863,4.1484832763671875e-05
ffnn_ewc_replay,0.01,PortScan,29277,0.9949789937493596,0.2047682481128531,0.6119356751441956
ffnn_ewc_replay,0.01,DDoS,22159,0.9896204702378266,0.010379529762173384,5.9604644775390625e-05
ffnn_ewc_replay,0.05,Benign,313491,0.9457336893244144,0.053995170515262,0.0003203153610229492
ffnn_ewc_replay,0.05,BruteForce,1280,0.9828125,0.0171875,0.0
ffnn_ewc_replay,0.05,DoS,33606,0.9712253764208773,0.02841754448610367,1.9669532775878906e-05
ffnn_ewc_replay,0.05,WebAttack,24,0.9583333333333334,0.041666666666666664,
ffnn_ewc_replay,0.05,Infiltration,16434,0.9094560058415481,0.028964342217354267,0.4358677268028259
ffnn_ewc_replay,0.05,Botnet,73,0.958904109589041,0.0410958904109589,3.039836883544922e-05
ffnn_ewc_replay,0.05,PortScan,29277,0.9712743792055197,0.03227789732554565,0.5969598293304443
ffnn_ewc_replay,0.05,DDoS,22159,0.9468838846518345,0.05311611534816553,1.633167266845703e-05
ffnn_ewc_replay,0.1,Benign,313491,0.8980512997183332,0.1016839398898214,0.00011909008026123047
ffnn_ewc_replay,0.1,BruteForce,1280,0.9828125,0.0171875,0.0
ffnn_ewc_replay,0.1,DoS,33606,0.9311730048205678,0.06846991608641315,2.86102294921875e-06
ffnn_ewc_replay,0.1,WebAttack,24,0.9583333333333334,0.041666666666666664,
ffnn_ewc_replay,0.1,Infiltration,16434,0.892904953145917,0.019654375076061822,0.4096696972846985
ffnn_ewc_replay,0.1,Botnet,73,0.9315068493150684,0.0684931506849315,2.7894973754882812e-05
ffnn_ewc_replay,0.1,PortScan,29277,0.9422071933599754,0.021484441711924037,0.5696825981140137
ffnn_ewc_replay,0.1,DDoS,22159,0.8975585540863757,0.10244144591362427,7.510185241699219e-06
