model,ip_mode,after_task,task_category,accuracy_seen,macro_f1_seen,fpr_seen,detection_rate_seen,retention_rate,retention_normalised,task0_accuracy,task0_macro_f1,current_task_recall,next_task_recall_before_training,train_seconds,train_steps,ewc_stability_ratio,ewc_lambda,ewc_gamma
xgboost_static,none,0,BruteForce,0.999992790298626,0.999802944543727,7.27685523424197e-06,1.0,1.0,1.0,0.999992790298626,0.999802944543727,1.0,0.0,4.933651924133301,1,,,
xgboost_static,none,1,DoS,0.8592052014645877,0.6410171680414778,9.812772304431448e-06,0.0366909361921687,1.0,1.0,0.999992790298626,0.999802944543727,0.0,0.0,0.0,0,,,
xgboost_static,none,2,WebAttack,0.872462097367483,0.4826879942891086,8.7415643903633e-06,0.036665711830421,1.0,1.0,0.999992790298626,0.999802944543727,0.0,0.0,0.0,0,,,
xgboost_static,none,3,Infiltration,0.837798264993424,0.3799587407555534,3.108510324139914e-05,0.0253583670925521,1.0,1.0,0.999992790298626,0.999802944543727,0.0,0.0,0.0,0,,,
xgboost_static,none,4,Botnet,0.8509115667293009,0.3179280590650015,2.807736718527904e-05,0.0253223641986113,1.0,1.0,0.999992790298626,0.999802944543727,0.0,0.0,0.0,0,,,
xgboost_static,none,5,PortScan,0.7970506766425447,0.267816582130757,2.897151134717528e-05,0.0161350286266636,1.0,1.0,0.999992790298626,0.999802944543727,0.0,0.0,0.0,0,,,
xgboost_static,none,6,DDoS,0.7560142574409623,0.2310787942615667,2.870895815190867e-05,0.0126588432034068,1.0,1.0,0.999992790298626,0.999802944543727,0.0,,0.0,0,,,
gnn_naive,none,0,BruteForce,0.9999711611945034,0.999212691837611,2.910742093696788e-05,1.0,1.0,1.0,0.9999711611945034,0.999212691837611,1.0,0.0,11.734123945236206,970,,,
gnn_naive,none,1,DoS,0.9935191158850784,0.6589455248671888,0.0012413156965105,0.9995986928853982,0.0,0.0,0.9907643725396894,0.4999981807795723,0.999583407724811,0.0,7.941958427429199,700,,,
gnn_naive,none,2,WebAttack,0.9183093036837036,0.3923273003900835,0.0006075387251302,0.9265826410770552,0.0,0.0,0.9907715822410637,0.4999909040964311,1.0,0.0,1.822643518447876,180,,,
gnn_naive,none,3,Infiltration,0.8940823188706261,0.3887151749363396,0.0040294065076663,0.5088812714241197,0.0,0.0,0.9906562270190769,0.4989125343577417,0.995923086284532,0.0,3.3412187099456787,340,,,
gnn_naive,none,4,Botnet,0.8471654020883381,0.2663118139958317,0.0001860125576024,0.0012641733278876,0.0,0.0,0.9906490173177028,0.4976512728760951,0.8904109589041096,0.0,1.8866991996765137,200,,,
gnn_naive,none,5,PortScan,0.8649806819575616,0.2420651376788773,0.0045774987928536,0.5906634941879197,0.0,0.0,0.9900938703118916,0.498770579625399,1.0,0.0,4.3712334632873535,380,,,
gnn_naive,none,6,DDoS,0.8748727014199796,0.2994658005891339,0.0021276527874803,0.9299874578281624,0.0,0.0,0.9907571628383152,0.4976965868922756,1.0,,2.3058080673217773,200,,,
gnn_ewc_replay,none,0,BruteForce,0.9999711611945034,0.999212691837611,2.910742093696788e-05,1.0,1.0,1.0,0.9999711611945034,0.999212691837611,1.0,0.0,10.636590003967283,970,0.0099999997764825,,
gnn_ewc_replay,none,1,DoS,0.9993255188477684,0.998821323147285,0.00077520901205,0.9999140056182996,1.0,1.0,0.9999855805972516,0.9996060414834552,0.9999107302267451,0.0,30.174036979675293,700,0.0120385475456714,,
gnn_ewc_replay,none,2,WebAttack,0.998737210942655,0.8170506270829814,0.0012194482324556,0.998453165282154,1.0,1.0,0.9999855805972516,0.9996060414834552,1.0,0.0,7.837173700332642,180,0.0136539693921804,,
gnn_ewc_replay,none,3,Infiltration,0.9990087527777598,0.9092761209744852,0.0010646647860179,0.999376752882518,1.0,1.0,0.9999855805972516,0.9996060414834552,0.998296215163685,0.0,11.404500484466553,340,0.0192051287740468,,
gnn_ewc_replay,none,4,Botnet,0.9993102300026164,0.9468527336930842,0.0007580889140025,0.9996888188731352,1.0,1.0,0.9998413865697684,0.9995696540298704,0.9863013698630136,0.0,7.118220806121826,200,0.0185111537575721,,
gnn_ewc_replay,none,5,PortScan,0.996207939817654,0.9646357136178768,0.0013616610333172,0.9998141125734256,1.0,1.0,0.9999783708958776,0.9996042222365508,0.9999658434948936,0.0,13.166784763336182,380,0.0179556254297494,,
gnn_ewc_replay,none,6,DDoS,0.998330707299733,0.975343126902664,0.000727293606515,0.9999124964755524,1.0,1.0,0.9998990641807616,0.9995842096468236,1.0,,7.965080261230469,200,0.0193247329443693,,
ffnn_ewc_replay,none,0,BruteForce,0.9999855805972516,0.9996060414834552,1.455371046848394e-05,1.0,1.0,1.0,0.9999855805972516,0.9996060414834552,1.0,0.0,17.332237720489502,4740,0.0099999997764825,,
