model,ip_mode,after_task,task_category,accuracy_seen,current_task_recall,detection_rate_seen,ewc_gamma,ewc_lambda,ewc_stability_ratio,fpr_seen,macro_f1_seen,next_task_recall_before_training,retention_normalised,retention_rate,task0_accuracy,task0_macro_f1,train_seconds,train_steps
xgboost_static,none,0,BruteForce,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5342651791470578,0.0
xgboost_static,none,1,DoS,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xgboost_static,none,2,WebAttack,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xgboost_static,none,3,Infiltration,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xgboost_static,none,4,Botnet,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xgboost_static,none,5,PortScan,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xgboost_static,none,6,DDoS,0.0,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
gnn_naive,none,0,BruteForce,8.325046058281559e-06,0.0,0.0,,,,8.402588656687077e-06,0.00022710052391382415,0.0,0.0,0.0,8.325046058281559e-06,0.00022710052391382415,1.459592282997306,0.0
gnn_naive,none,1,DoS,0.000270073337656008,0.00018897973460347235,0.00018204589121956642,,,,0.00028534477778791435,0.00036016453911483665,0.0,0.0,0.0,0.0,0.0,0.40059796167928946,0.0
gnn_naive,none,2,WebAttack,0.03443066090394702,0.0,0.16794811454843714,,,,0.00030810139425461433,0.051826851981826884,0.0,0.0,0.0,0.0,0.0007223608289792428,0.1332240393129932,0.0
gnn_naive,none,3,Infiltration,0.043162534937314555,0.0020034170175434614,0.2102309225685339,,,,0.0004447994784309662,0.0940605536568429,0.0,0.0,0.0,7.630030745242124e-05,0.0007146818346143822,0.18891681543596886,0.0
gnn_naive,none,4,Botnet,0.00016756347229668442,0.13857525941089968,0.00010711575057447988,,,,0.00017955434239130195,0.03990620047249765,0.0,0.0,0.0,0.00013215600914066533,3.3351786451998597e-05,0.18823081669101766,0.0
gnn_naive,none,5,PortScan,0.00030619164499806926,0.0,0.022792356819528643,,,,0.00038572754907491763,0.0022013452405937745,0.0,0.0,0.0,0.0002489522864573441,6.28444606725141e-05,0.24526353530692357,0.0
gnn_naive,none,6,DDoS,0.02051769023285771,0.0,0.13521669069656578,,,,0.00215947466920523,0.016549122360581422,,0.0,0.0,0.00015817587510780632,0.0006228268108881671,0.04385042168017693,0.0
gnn_ewc_replay,none,0,BruteForce,8.325046058281559e-06,0.0,0.0,,,0.0,8.402588656687077e-06,0.00022710052391382415,0.0,0.0,0.0,8.325046058281559e-06,0.00022710052391382415,0.6060042525715411,0.0
gnn_ewc_replay,none,1,DoS,0.0002703439685609971,0.0020702405566670684,0.0019942814924999563,,,0.0013219218243299747,3.538045369806418e-05,0.006302648664630912,0.0,0.0,0.0,4.16252302927699e-06,0.00011368203485217666,4.389828587326563,0.0
gnn_ewc_replay,none,2,WebAttack,0.00032623592106242373,0.0,0.0008434506940325356,,,0.003520942053069423,0.00028285411530758295,0.067242734313461,0.0,0.0,0.0,8.325046058257523e-06,0.00011053100678212357,1.465502503238993,0.0
gnn_ewc_replay,none,3,Infiltration,0.00014844658262516615,0.0008634049999510135,0.0002658615771975334,,,0.0015021552836615645,0.00012508696657495598,0.03560696008770471,0.0,0.0,0.0,9.573802967050234e-05,0.00012645456740155195,1.344675787329309,0.0
gnn_ewc_replay,none,4,Botnet,0.0018224305058907766,0.1710958355725588,0.011805070864752461,,,0.0010065557525216777,2.1348494633018903e-05,0.019935828505754788,0.0,0.0,0.0,3.251034413940438e-05,0.00011954620331902036,0.671054877451096,0.0
gnn_ewc_replay,none,5,PortScan,0.0017340438160389085,1.9720267417721743e-05,8.93635530636832e-05,,,0.0014285721528304455,0.00033327733320592166,0.00769420582408716,0.0,0.0,0.0,7.293329538857615e-05,0.00012358195157098436,1.042072321788809,0.0
gnn_ewc_replay,none,6,DDoS,0.0046104579126644936,0.0,0.0059008577038920035,,,0.002679002622341034,7.039460938503361e-05,0.019556148623520446,,0.0,0.0,6.003276086768929e-05,0.00011773622386623456,0.6743635250399941,0.0
ffnn_ewc_replay,none,0,BruteForce,4.162523029252953e-06,0.0,0.0,,,0.0,4.2012943283435384e-06,0.00011368203485215262,0.0,0.0,0.0,4.162523029252953e-06,0.00011368203485215262,3.077143563135199,0.0
ffnn_ewc_replay,none,1,DoS,8.34716879003347e-05,4.54539436901903e-05,4.378619594261473e-05,,,0.0050715045127046,9.077919356267254e-05,0.0001872501986732543,0.0,0.0,0.0,7.941587788618071e-05,0.00013260257597878065,3.2702049593231988,0.0
ffnn_ewc_replay,none,2,WebAttack,0.0005387135726828098,0.04166666666666667,9.208107286344365e-05,,,0.0068629225759011345,0.0006119459294263999,0.09039050023255323,0.0,0.0,0.0,0.0005105330677205507,0.00012888825839229366,2.9337667769355846,0.0
ffnn_ewc_replay,none,3,Infiltration,0.0004957506289619999,0.0018359334731862472,0.0006354028115257173,,,0.00791606892476304,0.0006979489770184463,0.018058711277068637,0.0,0.0,0.0,0.0007575677557167678,0.0003002656994389911,1.3585062593916681,0.0
ffnn_ewc_replay,none,4,Botnet,8.116926016007267e-05,0.0,0.0002389911065881534,,,0.00447384564887389,4.765059554297874e-05,0.0166596390271493,0.0,0.0,0.0,9.600911477086623e-05,2.4232265497636982e-05,1.258141514460722,0.0
ffnn_ewc_replay,none,5,PortScan,0.00012992705456523797,0.0002517715201637378,0.00030590475263053045,,,0.0040267485838859285,0.00012301402854070223,0.02124007313608903,0.0,0.0,0.0,4.995027634986563e-05,1.2607093686270211e-05,8.044992779671226,0.0
ffnn_ewc_replay,none,6,DDoS,0.0004596430473293325,0.0,0.0001604476783304573,,,0.005554347307645612,0.00011538095412736008,0.020426536437634157,,0.0,0.0,0.00010472696173335997,2.6432674645992676e-05,1.3311951687534271,0.0
ffnn_naive,none,0,BruteForce,4.162523029252953e-06,0.0,0.0,,,,4.2012943283435384e-06,0.00011368203485215262,0.0,0.0,0.0,4.162523029252953e-06,0.00011368203485215262,5.411576923671781,0.0
ffnn_naive,none,1,DoS,0.00037070980013655265,0.0035151003138900127,0.003386127992563954,,,,0.00014738226496319656,0.0005126404968762444,0.0,0.0,0.0,0.00013755233542657103,3.471378635874582e-05,0.8904218700713676,0.0
ffnn_naive,none,2,WebAttack,0.0003430873941717328,0.024056261216234432,0.006355595474795953,,,,0.0002867557356888976,0.015784637335388218,0.0,0.0,0.0,0.0002713313744611603,0.00034353766190203176,0.24040351501239046,0.0
