stream_index,window_id,ts,detector,prev_error,new_error,triggered_retrain,reason,n_detections,model,policy
6,148,2017-07-05T12:52:02.760958,ADWIN,0.00020986778329652319,0.171875,True,error increased,14,gnn_ewc_replay,adwin
7,149,2017-07-05T12:57:13.318901,ADWIN,0.04231830726770929,0.08984375,False,refractory period,5,gnn_ewc_replay,adwin
8,150,2017-07-05T13:01:17.744846,ADWIN,0.06998158379373849,0.12109375,False,refractory period,5,gnn_ewc_replay,adwin
9,152,2017-07-05T13:12:54.669885,ADWIN,0.01339784145887607,0.5,False,refractory period,4,gnn_ewc_replay,adwin
10,153,2017-07-05T13:15:48.345465,ADWIN,0.01871502990546016,0.021107456140350877,False,refractory period,1,gnn_ewc_replay,adwin
11,155,2017-07-05T13:25:10.453300,ADWIN,0.055619930475086905,0.7142857142857143,True,error increased,4,gnn_ewc_replay,adwin
13,158,2017-07-05T13:40:19.835821,ADWIN,0.0016258693884924579,0.06770833333333333,False,refractory period,1,gnn_ewc_replay,adwin
14,159,2017-07-05T13:43:24.912205,ADWIN,0.9738820736050653,0.453125,False,error decreased,2,gnn_ewc_replay,adwin
15,160,2017-07-05T13:43:58.440253,ADWIN,0.9912314144109798,0.90625,False,error decreased,2,gnn_ewc_replay,adwin
16,162,2017-07-05T13:45:05.180353,ADWIN,0.5263157894736842,0.796875,True,error increased,4,gnn_ewc_replay,adwin
17,163,2017-07-05T13:45:37.096427,ADWIN,0.9469387755102041,0.2857142857142857,False,error decreased,1,gnn_ewc_replay,adwin
18,165,2017-07-05T13:46:29.403971,ADWIN,0.004608294930875576,0.3,False,refractory period,5,gnn_ewc_replay,adwin
19,166,2017-07-05T13:47:01.332086,ADWIN,0.9869723814486712,0.5714285714285714,False,error decreased,1,gnn_ewc_replay,adwin
20,168,2017-07-05T13:48:07.965214,ADWIN,0.0030054097375275496,0.16666666666666666,False,refractory period,4,gnn_ewc_replay,adwin
21,169,2017-07-05T13:48:41.349281,ADWIN,0.9728978457261988,0.2857142857142857,False,error decreased,1,gnn_ewc_replay,adwin
24,173,2017-07-05T13:50:38.228962,ADWIN,0.0012687813021702839,0.16666666666666666,True,error increased,4,gnn_ewc_replay,adwin
25,175,2017-07-05T13:51:44.892056,ADWIN,0.9785618579723091,0.2857142857142857,False,error decreased,1,gnn_ewc_replay,adwin
37,192,2017-07-05T14:00:23.948382,ADWIN,0.0002908526831160017,0.004006410256410256,True,error increased,4,gnn_ewc_replay,adwin
72,242,2017-07-06T12:22:45.174419,ADWIN,0.00011612850780673894,0.00014341441027994494,True,error increased,1,gnn_ewc_replay,adwin
86,262,2017-07-06T15:02:34.710872,ADWIN,0.0008807228000911093,0.0007283573806881243,False,error decreased,1,gnn_ewc_replay,adwin
97,277,2017-07-06T17:33:34.194501,ADWIN,0.00044560689721980044,0.225,True,error increased,3,gnn_ewc_replay,adwin
101,283,2017-07-06T18:07:16.757797,ADWIN,0.0012275586926499924,0.006885593220338983,False,refractory period,2,gnn_ewc_replay,adwin
102,284,2017-07-06T18:09:57.844506,ADWIN,0.011913626209977662,0.17708333333333334,True,error increased,3,gnn_ewc_replay,adwin
103,285,2017-07-06T18:10:49.994872,ADWIN,0.0038749677086024285,0.00712719298245614,False,refractory period,3,gnn_ewc_replay,adwin
104,287,2017-07-06T18:14:45.755478,ADWIN,0.042458100558659215,0.017578125,False,error decreased,1,gnn_ewc_replay,adwin
105,288,2017-07-06T18:18:04.892579,ADWIN,0.002131060202450719,0.0030691964285714285,False,refractory period,3,gnn_ewc_replay,adwin
106,290,2017-07-06T18:20:34.510755,ADWIN,0.012509773260359656,0.0,False,error decreased,1,gnn_ewc_replay,adwin
110,295,2017-07-06T18:31:05.480703,ADWIN,0.0012482085895242937,0.0013115875912408758,True,error increased,1,gnn_ewc_replay,adwin
111,297,2017-07-06T18:33:53.760513,ADWIN,0.017543859649122806,0.010416666666666666,False,error decreased,1,gnn_ewc_replay,adwin
128,321,2017-07-07T13:06:05.779821,ADWIN,0.0002534124287277544,0.00029790276453765493,True,error increased,1,gnn_ewc_replay,adwin
130,323,2017-07-07T13:17:08.517690,ADWIN,0.0015585267820523337,0.0003943217665615142,False,error decreased,1,gnn_ewc_replay,adwin
133,328,2017-07-07T13:36:33.599736,ADWIN,0.00211738799017532,0.0025614754098360654,True,error increased,2,gnn_ewc_replay,adwin
146,347,2017-07-07T16:50:49.419521,ADWIN,0.0006083601492083313,0.15178571428571427,True,error increased,4,gnn_ewc_replay,adwin
148,350,2017-07-07T17:13:57.348088,ADWIN,0.004516711833785004,0.010775862068965518,False,refractory period,4,gnn_ewc_replay,adwin
151,354,2017-07-07T17:45:17.899612,ADWIN,0.0015598945726426766,0.027573529411764705,True,error increased,1,gnn_ewc_replay,adwin
152,355,2017-07-07T17:51:45.466435,ADWIN,0.9846153846153847,0.8515625,False,error decreased,1,gnn_ewc_replay,adwin
154,358,2017-07-07T17:52:06.020133,ADWIN,0.9931925427400016,0.625,False,error decreased,1,gnn_ewc_replay,adwin
155,360,2017-07-07T17:52:19.730775,ADWIN,0.9880279348187563,0.953125,False,error decreased,2,gnn_ewc_replay,adwin
157,362,2017-07-07T17:52:33.458646,ADWIN,0.9934710478433052,0.94921875,False,error decreased,1,gnn_ewc_replay,adwin
159,365,2017-07-07T17:52:54.036328,ADWIN,0.9891571753986332,0.421875,False,error decreased,2,gnn_ewc_replay,adwin
160,367,2017-07-07T17:54:15.198356,ADWIN,0.9547038327526133,1.0,True,error increased,8,gnn_ewc_replay,adwin
161,368,2017-07-07T17:54:21.743673,ADWIN,0.84251968503937,0.671875,False,error decreased,1,gnn_ewc_replay,adwin
174,387,2017-07-07T18:10:02.151109,ADWIN,0.0004600168672851338,0.3020833333333333,True,error increased,4,gnn_ewc_replay,adwin
175,388,2017-07-07T18:12:20.353225,ADWIN,0.006411969008816457,0.007699275362318841,False,refractory period,1,gnn_ewc_replay,adwin
181,396,2017-07-07T18:51:29.702413,ADWIN,0.00104419168375909,0.328125,True,error increased,12,gnn_ewc_replay,adwin
182,398,2017-07-07T18:58:02.196043,ADWIN,0.3858267716535433,0.2375,False,error decreased,1,gnn_ewc_replay,adwin
6,148,2017-07-05T12:52:02.760958,ADWIN,0.00020986778329652319,0.171875,True,error increased,14,gnn_naive,adwin
7,149,2017-07-05T12:57:13.318901,ADWIN,0.04783808647654094,0.08705357142857142,False,refractory period,4,gnn_naive,adwin
8,150,2017-07-05T13:01:17.744846,ADWIN,0.0594679186228482,0.12109375,False,refractory period,5,gnn_naive,adwin
9,152,2017-07-05T13:12:54.669885,ADWIN,0.01708469647400945,0.5,False,refractory period,4,gnn_naive,adwin
11,155,2017-07-05T13:25:10.453300,ADWIN,0.006816292601828761,0.009171195652173914,True,error increased,4,gnn_naive,adwin
13,158,2017-07-05T13:40:19.835821,ADWIN,0.0034323909312618554,0.06770833333333333,False,refractory period,1,gnn_naive,adwin
14,159,2017-07-05T13:43:24.912205,ADWIN,0.9738820736050653,0.453125,False,error decreased,2,gnn_naive,adwin
15,160,2017-07-05T13:43:58.440253,ADWIN,0.9912314144109798,0.90625,False,error decreased,2,gnn_naive,adwin
16,162,2017-07-05T13:45:05.180353,ADWIN,0.5263157894736842,0.796875,True,error increased,4,gnn_naive,adwin
17,163,2017-07-05T13:45:37.096427,ADWIN,0.9469387755102041,0.2857142857142857,False,error decreased,1,gnn_naive,adwin
18,165,2017-07-05T13:46:29.403971,ADWIN,0.0033353922174181594,0.1875,False,refractory period,3,gnn_naive,adwin
24,173,2017-07-05T13:50:38.228962,ADWIN,0.0010031251205679232,0.16666666666666666,True,error increased,4,gnn_naive,adwin
25,175,2017-07-05T13:51:44.892056,ADWIN,0.9785618579723091,0.2857142857142857,False,error decreased,1,gnn_naive,adwin
72,242,2017-07-06T12:22:45.174419,ADWIN,7.216140383643981e-05,8.381981697696434e-05,True,error increased,1,gnn_naive,adwin
83,258,2017-07-06T14:36:43.113049,ADWIN,0.000907391612071938,0.0007034447476125512,False,error decreased,1,gnn_naive,adwin
97,277,2017-07-06T17:33:34.194501,ADWIN,0.0003037132946498505,0.225,True,error increased,3,gnn_naive,adwin
101,283,2017-07-06T18:07:16.757797,ADWIN,0.0013919446814242738,0.006009615384615385,False,refractory period,1,gnn_naive,adwin
102,284,2017-07-06T18:09:57.844506,ADWIN,0.007431693989071038,0.17708333333333334,True,error increased,2,gnn_naive,adwin
105,288,2017-07-06T18:18:04.892579,ADWIN,0.001234487687609642,0.0018055555555555555,False,refractory period,1,gnn_naive,adwin
127,319,2017-07-07T12:57:46.514818,ADWIN,0.0002599548792602427,8.00597779675491e-05,False,error decreased,1,gnn_naive,adwin
131,325,2017-07-07T13:25:25.836703,ADWIN,0.003792424751572176,0.004481357552581262,True,error increased,1,gnn_naive,adwin
132,326,2017-07-07T13:28:50.168559,ADWIN,0.005700805976017299,0.003933566433566434,False,error decreased,1,gnn_naive,adwin
134,329,2017-07-07T13:44:33.114918,ADWIN,0.0017226528854435831,0.0019707207207207205,False,refractory period,1,gnn_naive,adwin
135,331,2017-07-07T14:03:11.120403,ADWIN,0.005176189528170416,0.00275,False,error decreased,1,gnn_naive,adwin
146,347,2017-07-07T16:50:49.419521,ADWIN,0.00044618157805500526,0.15178571428571427,True,error increased,4,gnn_naive,adwin
148,350,2017-07-07T17:13:57.348088,ADWIN,0.004878048780487805,0.010775862068965518,False,refractory period,4,gnn_naive,adwin
153,357,2017-07-07T17:51:59.159748,ADWIN,0.0017647707636310158,0.002051767676767677,True,error increased,1,gnn_naive,adwin
161,368,2017-07-07T17:54:21.743673,ADWIN,0.0021587725835881884,0.0020105698529411763,False,error decreased,1,gnn_naive,adwin
167,377,2017-07-07T17:55:19.562795,ADWIN,0.0006037146205476047,0.0007064494680851064,True,error increased,1,gnn_naive,adwin
175,388,2017-07-07T18:12:20.353225,ADWIN,0.0005200208008320333,0.003605769230769231,True,error increased,1,gnn_naive,adwin
177,391,2017-07-07T18:23:24.585570,ADWIN,0.0012738853503184713,0.0,False,error decreased,1,gnn_naive,adwin
181,396,2017-07-07T18:51:29.702413,ADWIN,0.0013021681099029884,0.328125,True,error increased,12,gnn_naive,adwin
182,398,2017-07-07T18:58:02.196043,ADWIN,0.3858267716535433,0.2375,False,error decreased,1,gnn_naive,adwin
197,419,2017-07-07T19:20:18.568724,ADWIN,0.000813257429306598,0.001358695652173913,True,error increased,3,gnn_naive,adwin
198,421,2017-07-07T19:42:08.815711,ADWIN,0.035561005518087066,0.030523255813953487,False,error decreased,1,gnn_naive,adwin
6,148,2017-07-05T12:52:02.760958,ADWIN,0.00020986778329652319,0.171875,True,error increased,14,ffnn_ewc_replay,adwin
9,152,2017-07-05T13:12:54.669885,ADWIN,0.0023928649118990647,0.42857142857142855,False,refractory period,5,ffnn_ewc_replay,adwin
10,153,2017-07-05T13:15:48.345465,ADWIN,0.00603578357404613,0.01524390243902439,False,refractory period,3,ffnn_ewc_replay,adwin
11,155,2017-07-05T13:25:10.453300,ADWIN,0.022453889334402566,0.13392857142857142,True,error increased,2,ffnn_ewc_replay,adwin
12,156,2017-07-05T13:29:31.560642,ADWIN,0.006914672935970129,0.484375,False,refractory period,2,ffnn_ewc_replay,adwin
13,158,2017-07-05T13:40:19.835821,ADWIN,0.005209513023782559,0.06770833333333333,False,refractory period,1,ffnn_ewc_replay,adwin
14,159,2017-07-05T13:43:24.912205,ADWIN,0.9699248120300752,0.453125,False,error decreased,2,ffnn_ewc_replay,adwin
15,160,2017-07-05T13:43:58.440253,ADWIN,0.987037743042318,0.90625,False,error decreased,3,ffnn_ewc_replay,adwin
16,162,2017-07-05T13:45:05.180353,ADWIN,0.5263157894736842,0.796875,True,error increased,5,ffnn_ewc_replay,adwin
17,163,2017-07-05T13:45:37.096427,ADWIN,0.9469387755102041,0.2857142857142857,False,error decreased,1,ffnn_ewc_replay,adwin
39,195,2017-07-05T14:12:29.415831,ADWIN,0.00020912322813525726,0.2375,True,error increased,15,ffnn_ewc_replay,adwin
42,199,2017-07-05T14:42:55.811755,ADWIN,0.0022954003707954447,0.0010901162790697674,False,error decreased,1,ffnn_ewc_replay,adwin
70,239,2017-07-06T11:59:00.490140,ADWIN,0.0003719413191041936,0.0004691283292978208,True,error increased,1,ffnn_ewc_replay,adwin
84,259,2017-07-06T14:44:47.463686,ADWIN,0.0015938035302003426,0.001492942453854506,False,error decreased,1,ffnn_ewc_replay,adwin
88,264,2017-07-06T15:21:46.077528,ADWIN,0.0005435077993369205,0.001966783216783217,True,error increased,1,ffnn_ewc_replay,adwin
97,277,2017-07-06T17:33:34.194501,ADWIN,0.0008407196560255579,0.225,True,error increased,3,ffnn_ewc_replay,adwin
101,283,2017-07-06T18:07:16.757797,ADWIN,0.0018633871053612308,0.14285714285714285,False,refractory period,6,ffnn_ewc_replay,adwin
102,284,2017-07-06T18:09:57.844506,ADWIN,0.00757020757020757,0.25,True,error increased,2,ffnn_ewc_replay,adwin
103,285,2017-07-06T18:10:49.994872,ADWIN,0.011289622231871473,0.0203125,False,refractory period,2,ffnn_ewc_replay,adwin
