stream_index,window_id,ts,detector,prev_error,new_error,triggered_retrain,reason,n_detections,model,policy
6,148,2017-07-05T12:52:02.760958,ADWIN,0.00020986778329652319,0.171875,True,error increased,14,gnn_ewc_replay,adwin
7,149,2017-07-05T12:57:13.318901,ADWIN,0.03863845446182153,0.046875,False,refractory period,12,gnn_ewc_replay,adwin
8,150,2017-07-05T13:01:17.744846,ADWIN,0.041251778093883355,0.050347222222222224,False,refractory period,10,gnn_ewc_replay,adwin
9,152,2017-07-05T13:12:54.669885,ADWIN,0.009056383289512124,0.42857142857142855,False,refractory period,6,gnn_ewc_replay,adwin
10,153,2017-07-05T13:15:48.345465,ADWIN,0.013842375530252289,0.048177083333333336,False,refractory period,3,gnn_ewc_replay,adwin
11,155,2017-07-05T13:25:10.453300,ADWIN,0.03127506014434643,0.13392857142857142,True,error increased,3,gnn_ewc_replay,adwin
12,156,2017-07-05T13:29:31.560642,ADWIN,0.009872480460715755,0.390625,False,refractory period,3,gnn_ewc_replay,adwin
13,158,2017-07-05T13:40:19.835821,ADWIN,0.009153318077803204,0.06770833333333333,False,refractory period,2,gnn_ewc_replay,adwin
14,159,2017-07-05T13:43:24.912205,ADWIN,0.9738820736050653,0.453125,False,error decreased,2,gnn_ewc_replay,adwin
15,160,2017-07-05T13:43:58.440253,ADWIN,0.9912314144109798,0.90625,False,error decreased,2,gnn_ewc_replay,adwin
16,162,2017-07-05T13:45:05.180353,ADWIN,0.5263157894736842,0.796875,True,error increased,4,gnn_ewc_replay,adwin
17,163,2017-07-05T13:45:37.096427,ADWIN,0.9469387755102041,0.2857142857142857,False,error decreased,1,gnn_ewc_replay,adwin
22,170,2017-07-05T13:49:14.345333,ADWIN,0.0012404465607618743,0.5714285714285714,True,error increased,6,gnn_ewc_replay,adwin
23,172,2017-07-05T13:50:18.918794,ADWIN,0.8553459119496856,0.5714285714285714,False,error decreased,1,gnn_ewc_replay,adwin
29,180,2017-07-05T13:54:29.989881,ADWIN,0.00037995123959091916,0.0007894736842105263,True,error increased,1,gnn_ewc_replay,adwin
30,182,2017-07-05T13:55:22.166920,ADWIN,0.052182898475846035,0.04178370786516854,False,error decreased,1,gnn_ewc_replay,adwin
72,242,2017-07-06T12:22:45.174419,ADWIN,9.508640977488292e-05,0.00013812154696132598,True,error increased,1,gnn_ewc_replay,adwin
83,258,2017-07-06T14:36:43.113049,ADWIN,0.0012952658943719785,0.0010938572409059711,False,error decreased,1,gnn_ewc_replay,adwin
97,277,2017-07-06T17:33:34.194501,ADWIN,0.0003032479450961615,0.225,True,error increased,3,gnn_ewc_replay,adwin
101,283,2017-07-06T18:07:16.757797,ADWIN,0.0013842304211254858,0.14285714285714285,False,refractory period,6,gnn_ewc_replay,adwin
102,284,2017-07-06T18:09:57.844506,ADWIN,0.14136125654450263,0.2916666666666667,True,error increased,5,gnn_ewc_replay,adwin
103,285,2017-07-06T18:10:49.994872,ADWIN,0.012769704975781594,0.025,False,refractory period,4,gnn_ewc_replay,adwin
