stream_index,window_id,ts,detector,prev_error,new_error,triggered_retrain,reason,n_detections,model,policy
6,148,2017-07-05T12:52:02.760958,ADWIN,0.00020986778329652319,0.171875,True,error increased,14,gnn_ewc_replay,adwin_gate
7,149,2017-07-05T12:57:13.318901,ADWIN,0.03863845446182153,0.046875,False,refractory period,12,gnn_ewc_replay,adwin_gate
8,150,2017-07-05T13:01:17.744846,ADWIN,0.041251778093883355,0.050347222222222224,False,refractory period,10,gnn_ewc_replay,adwin_gate
9,152,2017-07-05T13:12:54.669885,ADWIN,0.009056383289512124,0.42857142857142855,False,refractory period,6,gnn_ewc_replay,adwin_gate
10,153,2017-07-05T13:15:48.345465,ADWIN,0.013842375530252289,0.048177083333333336,False,refractory period,3,gnn_ewc_replay,adwin_gate
11,155,2017-07-05T13:25:10.453300,ADWIN,0.03127506014434643,0.13392857142857142,True,error increased,3,gnn_ewc_replay,adwin_gate
12,156,2017-07-05T13:29:31.560642,ADWIN,0.03214596003475239,0.003125,False,error decreased,1,gnn_ewc_replay,adwin_gate
13,158,2017-07-05T13:40:19.835821,ADWIN,0.001658374792703151,0.06770833333333333,False,refractory period,1,gnn_ewc_replay,adwin_gate
14,159,2017-07-05T13:43:24.912205,ADWIN,0.9738820736050653,0.453125,False,error decreased,2,gnn_ewc_replay,adwin_gate
15,160,2017-07-05T13:43:58.440253,ADWIN,0.9912314144109798,0.90625,False,error decreased,2,gnn_ewc_replay,adwin_gate
16,162,2017-07-05T13:45:05.180353,ADWIN,0.5263157894736842,0.796875,True,error increased,4,gnn_ewc_replay,adwin_gate
17,163,2017-07-05T13:45:37.096427,ADWIN,0.9469387755102041,0.2857142857142857,False,error decreased,1,gnn_ewc_replay,adwin_gate
18,165,2017-07-05T13:46:29.403971,ADWIN,0.0037826000398168426,0.06640625,False,refractory period,7,gnn_ewc_replay,adwin_gate
19,166,2017-07-05T13:47:01.332086,ADWIN,0.1970289288506646,0.14322916666666666,False,error decreased,1,gnn_ewc_replay,adwin_gate
20,168,2017-07-05T13:48:07.965214,ADWIN,0.0020296326364927946,0.00744047619047619,False,refractory period,3,gnn_ewc_replay,adwin_gate
21,169,2017-07-05T13:48:41.349281,ADWIN,0.17994100294985252,0.11764705882352941,False,error decreased,1,gnn_ewc_replay,adwin_gate
24,173,2017-07-05T13:50:38.228962,ADWIN,0.0011450124604297164,0.16666666666666666,True,error increased,4,gnn_ewc_replay,adwin_gate
25,175,2017-07-05T13:51:44.892056,ADWIN,0.9785618579723091,0.2857142857142857,False,error decreased,1,gnn_ewc_replay,adwin_gate
37,192,2017-07-05T14:00:23.948382,ADWIN,0.00022107473905285267,0.007267441860465116,True,error increased,2,gnn_ewc_replay,adwin_gate
72,242,2017-07-06T12:22:45.174419,ADWIN,9.999117724906625e-05,0.00019297130403196514,True,error increased,1,gnn_ewc_replay,adwin_gate
82,256,2017-07-06T14:07:33.699620,ADWIN,0.0014512056934974057,0.0011160714285714285,False,error decreased,1,gnn_ewc_replay,adwin_gate
97,277,2017-07-06T17:33:34.194501,ADWIN,0.00028775736299152554,0.225,True,error increased,3,gnn_ewc_replay,adwin_gate
101,283,2017-07-06T18:07:16.757797,ADWIN,0.0014374700527072352,0.14285714285714285,False,refractory period,6,gnn_ewc_replay,adwin_gate
102,284,2017-07-06T18:09:57.844506,ADWIN,0.00572655690765927,0.14285714285714285,True,error increased,2,gnn_ewc_replay,adwin_gate
