lambda,gamma,model,lr_times_lambda,diverged,val_accuracy_seen,val_macro_f1_seen,val_retention_rate,val_fpr_seen,mean_val_macro_f1_over_tasks,max_stability_ratio
1,1.0,gnn_ewc_replay,0.001,False,0.9999,0.965664203172265,1.0,1.8805829807240245e-05,0.97407844602563,0.0019718972034752
1,1.0,ffnn_ewc_replay,0.001,False,0.9884238095238096,0.9282912781375964,1.0,0.0003510421564018,0.9592581323982394,0.0031718218233436
10,1.0,gnn_ewc_replay,0.01,False,0.9999,0.9968763771913698,1.0,3.761165961448049e-05,0.9764228618582016,0.0270369425415992
10,1.0,ffnn_ewc_replay,0.01,False,0.9888333333333332,0.930112352067408,1.0,0.0003259677166588,0.9531202176932032,0.0170732829719781
100,1.0,gnn_ewc_replay,0.1,False,0.988595238095238,0.9853548178725478,1.0,3.1343049678733744e-05,0.9775638855434962,0.2548899948596954
100,1.0,ffnn_ewc_replay,0.1,False,0.9871761904761904,0.9203843318094946,1.0,0.0003510421564018,0.942429544672759,0.3029829263687134
1000,1.0,gnn_ewc_replay,1.0,False,0.9992,0.9958893639656784,1.0,5.641748942172073e-05,0.9688124930930396,3.7542691230773926
1000,1.0,ffnn_ewc_replay,1.0,False,0.989095238095238,0.9111884335150732,1.0,0.0005641748942172,0.9483524296716518,3.041583299636841
10000,1.0,gnn_ewc_replay,10.0,False,0.9843571428571428,0.8298120932660467,1.0,0.00083999373139,0.9097588956595004,39.570430755615234
10000,1.0,ffnn_ewc_replay,10.0,False,0.9892190476190476,0.9141448407413388,1.0,0.0004262654756307,0.9318045292472534,38.29561233520508
1,0.9,gnn_ewc_replay,0.001,False,0.9995380952380952,0.9916737721693032,1.0,3.761165961448049e-05,0.9765537473713808,0.0022273040376603
1,0.9,ffnn_ewc_replay,0.001,False,0.9892857142857144,0.9323815467174836,1.0,0.0003761165961448,0.9509656926480758,0.0020954930223524
10,0.9,gnn_ewc_replay,0.01,False,0.999895238095238,0.997578602639206,1.0,6.268609935746748e-06,0.9760357529706284,0.0198465622961521
10,0.9,ffnn_ewc_replay,0.01,False,0.9868285714285714,0.9502369724015518,1.0,0.0003134304967873,0.95789381498464,0.0180743988603353
100,0.9,gnn_ewc_replay,0.1,False,0.9999333333333332,0.9969438663127992,1.0,2.5074439742987e-05,0.9751824121493458,0.2011798918247223
100,0.9,ffnn_ewc_replay,0.1,False,0.9882190476190476,0.9350747523557412,1.0,0.0003008932769158,0.9317105076084252,0.254239946603775
1000,0.9,gnn_ewc_replay,1.0,False,0.9994761904761904,0.7498080370308986,1.0,1.2537219871493496e-05,0.9388555852316092,2.8286056518554688
1000,0.9,ffnn_ewc_replay,1.0,False,0.9882428571428572,0.9021764512063674,1.0,0.000419996865695,0.9423990567534056,2.436039924621582
10000,0.9,gnn_ewc_replay,10.0,False,0.9992333333333332,0.7496775491870442,1.0,0.000394922425952,0.8866975807969882,33.49005889892578
10000,0.9,ffnn_ewc_replay,10.0,False,0.9906095238095238,0.9432597431617248,1.0,0.0003259677166588,0.952513292232095,33.35994338989258
1,1.0,gnn_ewc,0.001,False,0.8878333333333334,0.3084263712666402,0.0,6.895470929321423e-05,0.49220741869098145,0.0018153758719563484
10,1.0,gnn_ewc,0.01,False,0.8879523809523809,0.31001129698701146,0.0,6.268609935746748e-06,0.5206263055521637,0.0232525821775198
100,1.0,gnn_ewc,0.1,False,0.889747619047619,0.32664989408286504,0.0,0.004187431437078828,0.6475856285135909,0.2634143531322479
1000,1.0,gnn_ewc,1.0,False,0.9225333333333333,0.39173612559813786,0.0,0.0020247610092461996,0.6395854399249279,3.2069568634033203
10000,1.0,gnn_ewc,10.0,False,0.8846428571428572,0.29170696949792474,0.0,0.004275191976179283,0.5823321147982036,41.28157043457031
1,0.9,gnn_ewc,0.001,False,0.887347619047619,0.30549634554694793,0.0,6.268609935746749e-05,0.4885829282092854,0.0016970850992947817
10,0.9,gnn_ewc,0.01,False,0.8879333333333334,0.3049554320565049,0.0,6.268609935746748e-06,0.5212726941200937,0.02286546677350998
100,0.9,gnn_ewc,0.1,False,0.8913619047619048,0.4335029710350209,0.0,0.004262654756307788,0.6484317544319735,0.240390345454216
1000,0.9,gnn_ewc,1.0,False,0.9136619047619048,0.3710892744929802,0.0,0.0009402914903620122,0.6262228071458199,2.8542137145996094
10000,0.9,gnn_ewc,10.0,False,0.8846619047619048,0.2914488996875315,0.0,0.004174894217207334,0.6481898511433457,41.65668869018555
