model,ip_mode,after_task,after_task_category,scope,metric,value
gnn_ewc_replay,none,0,BruteForce,task0,n,138702.0
gnn_ewc_replay,none,0,BruteForce,task0,n_benign,137422.0
gnn_ewc_replay,none,0,BruteForce,task0,n_attack,1280.0
gnn_ewc_replay,none,0,BruteForce,task0,accuracy,0.9999855805972516
gnn_ewc_replay,none,0,BruteForce,task0,macro_f1,0.9996060414834551
gnn_ewc_replay,none,0,BruteForce,task0,fpr,1.455371046848394e-05
gnn_ewc_replay,none,0,BruteForce,task0,detection_rate,1.0
gnn_ewc_replay,none,0,BruteForce,task0,binary_f1,0.9992193598750976
gnn_ewc_replay,none,0,BruteForce,task0,category_recall,1.0
gnn_ewc_replay,none,0,BruteForce,task1,n,100000.0
gnn_ewc_replay,none,0,BruteForce,task1,n_benign,66394.0
gnn_ewc_replay,none,0,BruteForce,task1,n_attack,33606.0
gnn_ewc_replay,none,0,BruteForce,task1,accuracy,0.66388
gnn_ewc_replay,none,0,BruteForce,task1,macro_f1,0.3989951198403731
gnn_ewc_replay,none,0,BruteForce,task1,fpr,9.036961171190167e-05
gnn_ewc_replay,none,0,BruteForce,task1,detection_rate,0.0
gnn_ewc_replay,none,0,BruteForce,task1,binary_f1,0.0
gnn_ewc_replay,none,0,BruteForce,task1,category_recall,0.0
gnn_ewc_replay,none,0,BruteForce,task2,n,25000.0
gnn_ewc_replay,none,0,BruteForce,task2,n_benign,24976.0
gnn_ewc_replay,none,0,BruteForce,task2,n_attack,24.0
gnn_ewc_replay,none,0,BruteForce,task2,accuracy,0.99904
gnn_ewc_replay,none,0,BruteForce,task2,macro_f1,0.4997598847446774
gnn_ewc_replay,none,0,BruteForce,task2,fpr,0.0
gnn_ewc_replay,none,0,BruteForce,task2,detection_rate,0.0
gnn_ewc_replay,none,0,BruteForce,task2,binary_f1,0.0
gnn_ewc_replay,none,0,BruteForce,task2,category_recall,0.0
gnn_ewc_replay,none,0,BruteForce,task3,n,45000.0
gnn_ewc_replay,none,0,BruteForce,task3,n_benign,28566.0
gnn_ewc_replay,none,0,BruteForce,task3,n_attack,16434.0
gnn_ewc_replay,none,0,BruteForce,task3,accuracy,0.6348
gnn_ewc_replay,none,0,BruteForce,task3,macro_f1,0.3883043797406411
gnn_ewc_replay,none,0,BruteForce,task3,fpr,0.0
gnn_ewc_replay,none,0,BruteForce,task3,detection_rate,0.0
gnn_ewc_replay,none,0,BruteForce,task3,binary_f1,0.0
gnn_ewc_replay,none,0,BruteForce,task3,category_recall,0.0
gnn_ewc_replay,none,0,BruteForce,task4,n,27642.0
gnn_ewc_replay,none,0,BruteForce,task4,n_benign,27569.0
gnn_ewc_replay,none,0,BruteForce,task4,n_attack,73.0
gnn_ewc_replay,none,0,BruteForce,task4,accuracy,0.9973590912379712
gnn_ewc_replay,none,0,BruteForce,task4,macro_f1,0.4993388998569126
gnn_ewc_replay,none,0,BruteForce,task4,fpr,0.0
gnn_ewc_replay,none,0,BruteForce,task4,detection_rate,0.0
gnn_ewc_replay,none,0,BruteForce,task4,binary_f1,0.0
gnn_ewc_replay,none,0,BruteForce,task4,category_recall,0.0
