model,ip_mode,after_task,task_category,accuracy_seen,macro_f1_seen,fpr_seen,detection_rate_seen,retention_rate,retention_normalised,task0_accuracy,task0_macro_f1,current_task_recall,next_task_recall_before_training,train_seconds,train_steps,ewc_stability_ratio,ewc_lambda,ewc_gamma
gnn_ewc_replay,none,0,BruteForce,0.9999855805972516,0.9996060414834551,1.455371046848394e-05,1.0,1.0,1.0,0.9999855805972516,0.9996060414834551,1.0,0.0,34.963916301727295,970,0.009999999776482582,10.0,0.9
gnn_ewc_replay,permute,0,BruteForce,0.9999855805972516,0.9996060414834551,1.455371046848394e-05,1.0,1.0,1.0,0.9999855805972516,0.9996060414834551,1.0,0.0,34.963916301727295,970,0.009999999776482582,10.0,0.9
gnn_ewc_replay,random_src,0,BruteForce,0.9952632261971709,0.827980707192612,7.27685523424197e-05,0.49453125,0.49453125,1.0,0.9952632261971709,0.827980707192612,0.49453125,0.0,34.963916301727295,970,0.009999999776482582,10.0,0.9
gnn_ewc_replay,none,1,DoS,0.9993632227631105,0.9876659978655926,0.0007261451505279271,0.9998853408243995,1.0,1.0,0.9999927902986259,0.999802944543727,0.9998809736356603,0.0,64.24820160865784,700,0.013541181571781635,10.0,0.9
gnn_ewc_replay,permute,1,DoS,0.9993632227631105,0.9876659978655926,0.0007261451505279271,0.9998853408243995,1.0,1.0,0.9999927902986259,0.999802944543727,0.9998809736356603,0.0,64.24820160865784,700,0.013541181571781635,10.0,0.9
gnn_ewc_replay,random_src,1,DoS,0.9771639952744426,0.6417988059875405,0.012305216469757036,0.9156395115519119,0.0,0.0,0.9739441392337529,0.49340005113408086,0.9505147890257692,0.0,64.24820160865784,700,0.013541181571781635,10.0,0.9
gnn_ewc_replay,none,2,WebAttack,0.9991240111944544,0.9048736961639476,0.000773628448547152,0.9984531652821541,1.0,1.0,0.9999711611945034,0.9997974868030136,1.0,0.0,18.0527081489563,180,0.018113266676664352,10.0,0.9
gnn_ewc_replay,permute,2,WebAttack,0.9991240111944544,0.9048736961639476,0.000773628448547152,0.9984531652821541,1.0,1.0,0.9999711611945034,0.9997974868030136,1.0,0.0,18.0527081489563,180,0.018113266676664352,10.0,0.9
gnn_ewc_replay,random_src,2,WebAttack,0.9848730764271791,0.6836662654220043,0.003055176754431973,0.9057576625608708,0.00078125,0.0015797788309636653,0.9860348084382344,0.4972635500668826,0.75,0.0,18.0527081489563,180,0.018113266676664352,10.0,0.9
gnn_ewc_replay,none,3,Infiltration,0.9991059338779794,0.9692091406493732,0.0009869520279144227,0.999571517606731,1.0,1.0,0.9999855805972516,0.9998011253100609,0.9989047097480832,0.0,19.205860137939453,340,0.01630818471312523,10.0,0.9
gnn_ewc_replay,permute,3,Infiltration,0.9991059338779794,0.9692091406493732,0.0009869520279144227,0.999571517606731,1.0,1.0,0.9999855805972516,0.9998011253100609,0.9989047097480832,0.0,19.205860137939453,340,0.01630818471312523,10.0,0.9
gnn_ewc_replay,random_src,3,Infiltration,0.9800130870548296,0.5818749375422584,0.010751560083618928,0.935026488002493,0.0,0.0,0.9725310377644159,0.4930371280071931,0.9735913350371181,0.0,19.205860137939453,340,0.01630818471312523,10.0,0.9
gnn_ewc_replay,none,4,Botnet,0.9957751587660253,0.9118457197205299,0.0009791981805866063,0.9777894470700352,1.0,1.0,0.9998918544793874,0.9997774740676524,0.6575342465753424,0.0,11.442997217178345,200,0.01667538285255432,10.0,0.9
gnn_ewc_replay,permute,4,Botnet,0.9957751587660253,0.9118457197205299,0.0009791981805866063,0.9777894470700352,1.0,1.0,0.9998918544793874,0.9997774740676524,0.6575342465753424,0.0,11.442997217178345,200,0.01667538285255432,10.0,0.9
gnn_ewc_replay,random_src,4,Botnet,0.9644976571605262,0.5080718207113095,0.01281380844918172,0.8398000661259895,0.0,0.0,0.9706709348098802,0.49255860918430067,1.0,0.0,11.442997217178345,200,0.01667538285255432,10.0,0.9
gnn_ewc_replay,none,5,PortScan,0.998681466944683,0.9561501188660719,0.0008788025108643167,0.9996901876223759,1.0,1.0,0.9998918544793874,0.9997774740676524,1.0,0.0,25.819295406341553,380,0.01524814311414957,10.0,0.9
gnn_ewc_replay,permute,5,PortScan,0.998681466944683,0.9561501188660719,0.0008788025108643167,0.9996901876223759,1.0,1.0,0.9998918544793874,0.9997774740676524,1.0,0.0,25.819295406341553,380,0.01524814311414957,10.0,0.9
gnn_ewc_replay,random_src,5,PortScan,0.885875342409747,0.48520066615505064,0.011978110413648801,0.4926388579076511,0.0,0.0,0.9710386295799628,0.4926532717356714,0.0,0.0,25.819295406341553,380,0.01524814311414957,10.0,0.9
gnn_ewc_replay,none,6,DDoS,0.986756143957881,0.9495426156786032,0.0009314461978174812,0.9895384675216085,1.0,1.0,0.9999423223890066,0.9997902096300528,1.0,,14.221108675003052,200,0.016314450651407242,10.0,0.9
gnn_ewc_replay,permute,6,DDoS,0.986756143957881,0.9495426156786032,0.0009314461978174812,0.9895384675216085,1.0,1.0,0.9999423223890066,0.9997902096300528,1.0,,14.221108675003052,200,0.016314450651407242,10.0,0.9
gnn_ewc_replay,random_src,6,DDoS,0.8335631112733701,0.4270199462432454,0.01993677649438102,0.3990646845497944,0.0,0.0,0.9596545111101498,0.4897059689192371,0.0,,14.221108675003052,200,0.016314450651407242,10.0,0.9
