held_out_category,model,n_heldout_flows,n_benign_flows,heldout_detection_rate,fpr,binary_f1,mean_confidence_heldout,train_seconds
BruteForce,xgboost_static,1280,137422,0.0,7.27685523424197e-05,0.0,0.9802330136299133,72.84054780006409
BruteForce,ffnn_naive,1280,137422,0.40546875,0.00012370653898211348,0.5715859030837004,0.7939017415046692,105.46767354011536
BruteForce,gnn_naive,1280,137422,0.0,2.910742093696788e-05,0.0,0.7112897038459778,71.66953229904175
DoS,xgboost_static,33606,66394,2.975659108492531e-05,0.0,5.951141131311929e-05,0.9940898418426514,79.7748475074768
DoS,ffnn_naive,33606,66394,0.017169553056001905,0.0017019610205741482,0.03364823886167483,0.9946022033691406,120.10661816596985
DoS,gnn_naive,33606,66394,0.641046241742546,0.001009127330782902,0.7803172993335266,0.8389965295791626,81.25011873245239
WebAttack,xgboost_static,24,24976,0.0,0.00032030749519538755,0.0,0.9997572898864746,67352.73375225067
WebAttack,ffnn_naive,24,24976,0.0,0.00020019218449711723,0.0,0.9999997019767761,56.90318989753723
WebAttack,gnn_naive,24,24976,0.5416666666666666,0.0004804612427930814,0.5306122448979592,0.7405422329902649,98.2927770614624
Infiltration,xgboost_static,16434,28566,0.6740294511378849,0.0008751662815935028,0.8045467751307379,0.7953466176986694,84.13463115692139
Infiltration,ffnn_naive,16434,28566,0.4889253985639528,0.000980186235384723,0.6559986937175981,0.9929369688034058,140.40874600410461
Infiltration,gnn_naive,16434,28566,0.8129487647559936,0.0032906252187915705,0.8940042826552462,0.9564476609230042,91.33001613616943
Botnet,xgboost_static,73,27569,0.0,0.0,0.0,0.9998570084571838,97.10074424743652
Botnet,ffnn_naive,73,27569,0.0,0.0014146323769451195,0.0,0.9999997615814209,136.8806755542755
Botnet,gnn_naive,73,27569,0.0,3.627262504987486e-05,0.0,0.9999952912330627,96.19937038421631
PortScan,xgboost_static,29277,25723,0.974997438262117,0.0,0.9873404586489571,0.9325037598609924,74.89092969894409
PortScan,ffnn_naive,29277,25723,0.992007377805103,0.004043074291490106,0.9942147062850883,0.9983832836151123,133.37155675888062
PortScan,gnn_naive,29277,25723,1.0,3.8875714341251024e-05,0.9999829220391085,0.9999961853027344,95.94682908058167
DDoS,xgboost_static,22159,2841,0.5988988672774043,0.0,0.7491391476150155,0.6686125993728638,98.18231129646301
DDoS,ffnn_naive,22159,2841,0.9553228936323841,0.013023583245336149,0.9763173065836505,0.9082683324813843,136.00907444953918
DDoS,gnn_naive,22159,2841,1.0,0.0,1.0,0.9972994327545166,91.45245289802551
