auroc,tpr,fpr_known,n_known,n_novel,model,after_task,known_categories,novel_category,method,threshold,flag_precision_next_task,flagged_next_task
0.6937488862195618,0.4291793132178778,0.035075197185332585,138702,33606,gnn_ewc_replay,0,"Benign,BruteForce",DoS,msp,0.0,0.8763519261149593,16458
0.9261773165806939,0.44503957626614293,0.07450505400066329,138702,33606,gnn_ewc_replay,0,"Benign,BruteForce",DoS,energy,-24.49892807006836,0.785669258247531,19036
0.868504194112371,0.6170921859191811,0.06015053856469265,138702,33606,gnn_ewc_replay,0,"Benign,BruteForce",DoS,prototype,0.012143313884735107,0.804859116665373,25766
0.9987374425015291,1.0,0.05417633702273127,238702,24,gnn_ewc_replay,1,"Benign,BruteForce,DoS",WebAttack,msp,1.3709068298339844e-05,0.03333333333333333,720
0.998069594445515,1.0,0.062052266005312065,238702,24,gnn_ewc_replay,1,"Benign,BruteForce,DoS",WebAttack,energy,-12.909371376037598,0.03889789303079417,617
0.9974879766403298,1.0,0.05557138189039053,238702,24,gnn_ewc_replay,1,"Benign,BruteForce,DoS",WebAttack,prototype,0.023941997438669205,0.016818500350385426,1427
0.42315848323990224,0.007058537179019107,0.030519298298837323,263702,16434,gnn_ewc_replay,2,"Benign,BruteForce,DoS,WebAttack",Infiltration,msp,5.543231964111328e-05,0.4444444444444444,261
0.6438257206521616,0.004746257758305951,0.03448968911877801,263702,16434,gnn_ewc_replay,2,"Benign,BruteForce,DoS,WebAttack",Infiltration,energy,-9.788406372070312,0.4431818181818182,176
0.9571355767856852,0.6475599367165632,0.04645774396857058,263702,16434,gnn_ewc_replay,2,"Benign,BruteForce,DoS,WebAttack",Infiltration,prototype,0.024748247116804123,0.9233839479392625,11525
0.6196825630392497,0.0,0.06281138444195374,308702,73,gnn_ewc_replay,3,"Benign,BruteForce,DoS,WebAttack,Infiltration",Botnet,msp,1.5020370483398438e-05,0.0,288
0.7669096223755445,0.0,0.06316123640274439,308702,73,gnn_ewc_replay,3,"Benign,BruteForce,DoS,WebAttack,Infiltration",Botnet,energy,-11.742551803588867,0.0,140
0.5530084073632922,0.0,0.06788099850341106,308702,73,gnn_ewc_replay,3,"Benign,BruteForce,DoS,WebAttack,Infiltration",Botnet,prototype,0.025283310562372208,0.0,1552
0.9672489596659963,1.0,0.04721356706229336,336344,29277,gnn_ewc_replay,4,"Benign,BruteForce,DoS,WebAttack,Infiltration,Botnet",PortScan,msp,2.3126602172851562e-05,0.9665247103099931,30291
0.949551904702618,0.9709328141544558,0.06393751635230598,336344,29277,gnn_ewc_replay,4,"Benign,BruteForce,DoS,WebAttack,Infiltration,Botnet",PortScan,energy,-13.037463188171387,0.9817980865540704,28953
0.17743332232498335,0.00040987806127677014,0.042307875270556336,336344,29277,gnn_ewc_replay,4,"Benign,BruteForce,DoS,WebAttack,Infiltration,Botnet",PortScan,prototype,0.05037211254239082,0.008875739644970414,1352
0.8933483231698696,0.027708831625975903,0.039617318778363796,391344,22159,gnn_ewc_replay,5,"Benign,BruteForce,DoS,WebAttack,Infiltration,Botnet,PortScan",DDoS,msp,0.0003312826156616211,0.8252688172043011,744
0.966721951516304,0.7914165801705854,0.04203207408315957,391344,22159,gnn_ewc_replay,5,"Benign,BruteForce,DoS,WebAttack,Infiltration,Botnet,PortScan",DDoS,energy,-10.016107559204102,0.9990884749045748,17553
0.9387446682736832,0.6375287693487973,0.051657876446297886,391344,22159,gnn_ewc_replay,5,"Benign,BruteForce,DoS,WebAttack,Infiltration,Botnet,PortScan",DDoS,prototype,0.05766238272190094,0.9823378068284542,14381
0.47966932392068234,0.011337261203356543,0.05238569018471255,138702,33606,ffnn_ewc_replay,0,"Benign,BruteForce",DoS,msp,0.0,0.09194015444015444,4144
0.29010257487960533,0.009492352556091174,0.05328690285648369,138702,33606,ffnn_ewc_replay,0,"Benign,BruteForce",DoS,energy,-12.12448501586914,0.07793794282922062,4093
0.7709094753722785,0.034755698387192765,0.0549379244711684,138702,33606,ffnn_ewc_replay,0,"Benign,BruteForce",DoS,prototype,0.02487950399518013,0.3075302790942601,3798
0.9520603444182845,0.5,0.04827776893364949,238702,24,ffnn_ewc_replay,1,"Benign,BruteForce,DoS",WebAttack,msp,1.430511474609375e-06,0.00974025974025974,1232
0.9727390218766496,1.0,0.046178917646270246,238702,24,ffnn_ewc_replay,1,"Benign,BruteForce,DoS",WebAttack,energy,-11.95749282836914,0.019851116625310174,1209
0.986705180517968,1.0,0.053778351249675324,238702,24,ffnn_ewc_replay,1,"Benign,BruteForce,DoS",WebAttack,prototype,0.116922527551651,0.01721664275466284,1394
0.40925078054264263,0.0029816234635511745,0.0430182554550212,263702,16434,ffnn_ewc_replay,2,"Benign,BruteForce,DoS,WebAttack",Infiltration,msp,3.0994415283203125e-06,0.0361890694239291,1354
0.019040529033519944,0.0034075696726299136,0.044652676126840145,263702,16434,ffnn_ewc_replay,2,"Benign,BruteForce,DoS,WebAttack",Infiltration,energy,-11.627126693725586,0.036721311475409836,1525
0.4689209819605389,0.0033467202141900937,0.051463394285974316,263702,16434,ffnn_ewc_replay,2,"Benign,BruteForce,DoS,WebAttack",Infiltration,prototype,0.1614891141653061,0.03900709219858156,1410
0.47799003392286027,0.0,0.05266243820901711,308702,73,ffnn_ewc_replay,3,"Benign,BruteForce,DoS,WebAttack,Infiltration",Botnet,msp,0.0002513587533030659,0.0,2083
0.10357690348709751,0.0,0.05336538150060576,308702,73,ffnn_ewc_replay,3,"Benign,BruteForce,DoS,WebAttack,Infiltration",Botnet,energy,-8.545723915100098,0.0,1420
0.7504830655054753,0.0,0.05177161145700384,308702,73,ffnn_ewc_replay,3,"Benign,BruteForce,DoS,WebAttack,Infiltration",Botnet,prototype,0.2779775857925415,0.0,1681
0.8443421477000448,0.2901595108788469,0.05299336393692172,336344,29277,ffnn_ewc_replay,4,"Benign,BruteForce,DoS,WebAttack,Infiltration,Botnet",PortScan,msp,0.00025851131067611277,0.8626116978066612,9848
0.6552315896390762,0.00020493903063838507,0.05384071070094903,336344,29277,ffnn_ewc_replay,4,"Benign,BruteForce,DoS,WebAttack,Infiltration,Botnet",PortScan,energy,-6.8075385093688965,0.004691164972634871,1279
0.14103632158906795,0.0,0.05569000784910687,336344,29277,ffnn_ewc_replay,4,"Benign,BruteForce,DoS,WebAttack,Infiltration,Botnet",PortScan,prototype,0.3408101201057434,0.0,1274
0.9698129761787581,0.6538652466266528,0.026945602845578315,391344,22159,ffnn_ewc_replay,5,"Benign,BruteForce,DoS,WebAttack,Infiltration,Botnet,PortScan",DDoS,msp,0.02637019380927086,0.9988280711429753,14506
