model,ip_mode,after_task,task_category,accuracy_seen,macro_f1_seen,fpr_seen,detection_rate_seen,retention_rate,retention_normalised,task0_accuracy,task0_macro_f1,current_task_recall,next_task_recall_before_training,train_seconds,train_steps,ewc_stability_ratio,ewc_lambda,ewc_gamma
xgboost_static,none,0,BruteForce,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,8.76573133468628,1,,,
xgboost_static,none,1,DoS,0.9042375,0.523381001540091,0.0,0.0511518454297745,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,,,
xgboost_static,none,2,DDoS,0.9090990384615384,0.5049412437355194,0.0,0.0296731945641909,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,,,
xgboost_static,none,3,WebAttack,0.9278290076335878,0.5100549024482355,0.0,0.0296710627597885,1.0,1.0,1.0,1.0,0.0,0.0006426735218508,0.0,0,,,
xgboost_static,none,4,Infiltration,0.9436369501466276,0.5138607729001485,0.0,0.0292147771009485,1.0,1.0,1.0,1.0,0.0006426735218508,0.0,0.0,0,,,
xgboost_static,none,5,Botnet,0.9470522427440632,0.5136339170346793,0.0,0.0280156546673383,1.0,1.0,1.0,1.0,0.0,,0.0,0,,,
gnn_naive,none,0,BruteForce,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9856229138307196,43.616129636764526,1250,,,
gnn_naive,none,1,DoS,0.9998142857142858,0.9994880155293824,2.5820188209310363e-05,0.9983898934852612,1.0,1.0,0.9999885714285714,0.9998242041143648,0.9983030935909152,0.5465946315943871,91.15468215942384,2690,,,
gnn_naive,none,2,DDoS,0.9995971153846154,0.998812922860664,0.0001453469867553,0.9971055548712896,1.0,1.0,1.0,1.0,1.0,0.0,112.07359504699708,3380,,,
gnn_naive,none,3,WebAttack,0.9909206106870228,0.96506773330202,2.22668475504406e-05,0.8782059834761636,0.0,0.0,0.9834742857142856,0.495834149601853,1.0,0.0,58.7199296951294,1890,,,
gnn_naive,none,4,Infiltration,0.9374768328445748,0.4984384979947668,0.0057365805546544,0.0161832893899445,0.0,0.0,0.9477714285714286,0.4865927360206536,0.99293059125964,0.0,87.33628463745117,2760,,,
gnn_naive,none,5,Botnet,0.947978364116095,0.5296912084787178,0.0,0.0450168558918123,0.0,0.0,0.98348,0.495835602073124,1.0,,42.02999806404114,1330,,,
gnn_ewc_replay,none,0,BruteForce,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9856229138307196,42.046979904174805,1250,0.0099999997764825,10.0,0.9
