model,ip_mode,after_task,task_category,accuracy_seen,current_task_recall,detection_rate_seen,ewc_gamma,ewc_lambda,ewc_stability_ratio,fpr_seen,macro_f1_seen,next_task_recall_before_training,retention_normalised,retention_rate,task0_accuracy,task0_macro_f1,train_seconds,train_steps
xgboost_static,none,0,BruteForce,,,,,,,,,,,,,,,
xgboost_static,none,1,DoS,,,,,,,,,,,,,,,
xgboost_static,none,2,DDoS,,,,,,,,,,,,,,,
xgboost_static,none,3,WebAttack,,,,,,,,,,,,,,,
xgboost_static,none,4,Infiltration,,,,,,,,,,,,,,,
xgboost_static,none,5,Botnet,,,,,,,,,,,,,,,
gnn_naive,none,0,BruteForce,,,,,,,,,,,,,,,
gnn_naive,none,1,DoS,,,,,,,,,,,,,,,
gnn_naive,none,2,DDoS,,,,,,,,,,,,,,,
gnn_naive,none,3,WebAttack,,,,,,,,,,,,,,,
gnn_naive,none,4,Infiltration,,,,,,,,,,,,,,,
gnn_naive,none,5,Botnet,,,,,,,,,,,,,,,
gnn_ewc_replay,none,0,BruteForce,,,,,,,,,,,,,,,
gnn_ewc_replay,none,1,DoS,,,,,,,,,,,,,,,
gnn_ewc_replay,none,2,DDoS,,,,,,,,,,,,,,,
gnn_ewc_replay,none,3,WebAttack,,,,,,,,,,,,,,,
gnn_ewc_replay,none,4,Infiltration,,,,,,,,,,,,,,,
gnn_ewc_replay,none,5,Botnet,,,,,,,,,,,,,,,
ffnn_ewc_replay,none,0,BruteForce,,,,,,,,,,,,,,,
ffnn_ewc_replay,none,1,DoS,,,,,,,,,,,,,,,
ffnn_ewc_replay,none,2,DDoS,,,,,,,,,,,,,,,
ffnn_ewc_replay,none,3,WebAttack,,,,,,,,,,,,,,,
ffnn_ewc_replay,none,4,Infiltration,,,,,,,,,,,,,,,
ffnn_ewc_replay,none,5,Botnet,,,,,,,,,,,,,,,
ffnn_naive,none,0,BruteForce,,,,,,,,,,,,,,,
ffnn_naive,none,1,DoS,,,,,,,,,,,,,,,
ffnn_naive,none,2,DDoS,,,,,,,,,,,,,,,
ffnn_naive,none,3,WebAttack,,,,,,,,,,,,,,,
ffnn_naive,none,4,Infiltration,,,,,,,,,,,,,,,
ffnn_naive,none,5,Botnet,,,,,,,,,,,,,,,
gnn_ewc,none,0,BruteForce,,,,,,,,,,,,,,,
gnn_ewc,none,1,DoS,,,,,,,,,,,,,,,
gnn_ewc,none,2,DDoS,,,,,,,,,,,,,,,
gnn_ewc,none,3,WebAttack,,,,,,,,,,,,,,,
gnn_ewc,none,4,Infiltration,,,,,,,,,,,,,,,
gnn_ewc,none,5,Botnet,,,,,,,,,,,,,,,
gnn_replay,none,0,BruteForce,,,,,,,,,,,,,,,
gnn_replay,none,1,DoS,,,,,,,,,,,,,,,
gnn_replay,none,2,DDoS,,,,,,,,,,,,,,,
gnn_replay,none,3,WebAttack,,,,,,,,,,,,,,,
gnn_replay,none,4,Infiltration,,,,,,,,,,,,,,,
gnn_replay,none,5,Botnet,,,,,,,,,,,,,,,
