held_out_category,model,n_heldout_flows,n_benign_flows,heldout_detection_rate,fpr,binary_f1,mean_confidence_heldout,train_seconds
BruteForce,xgboost_static,2891,172109,0.0,5.8102713977769905e-06,0.0,0.999376118183136,107.62252831459045
BruteForce,ffnn_naive,2891,172109,0.0,2.3241085591107962e-05,0.0,0.9999613165855408,588.3429636955261
BruteForce,gnn_naive,2891,172109,0.9968868903493601,0.0,0.9984410185345575,0.5522700548171997,406.09143590927124
DoS,xgboost_static,53627,331373,0.9010013612545918,6.0354947445929515e-06,0.9479043032163771,0.9370737075805664,94.95343470573425
DoS,ffnn_naive,53627,331373,0.0006340089880097713,2.1124231606075328e-05,0.0012670492658567489,0.9998229742050171,525.6982481479645
DoS,gnn_naive,53627,331373,0.9856229138307196,3.319522109526123e-05,0.9926568632974627,0.9999974966049194,352.55670642852783
DDoS,xgboost_static,40906,439090,0.0,1.138718713703341e-05,0.00019550819912510082,0.9568851590156555,89.27042722702026
DDoS,ffnn_naive,40906,439090,0.0,9.109749709626728e-05,0.00019534111442105778,0.9964717030525208,510.40297532081604
DDoS,gnn_naive,40906,439090,0.9944017992470542,2.277437427406682e-05,0.9970588235294118,0.9947976469993591,326.36216402053833
WebAttack,xgboost_static,7,269993,0.0,7.4075994562822e-06,0.0,0.9999901056289673,138.07976984977722
WebAttack,ffnn_naive,7,269993,0.0,0.0001148177915723741,0.0,0.99998539686203,570.1959187984467
WebAttack,gnn_naive,7,269993,0.0,3.7037997281411e-06,0.0,1.0,380.38250517845154
Infiltration,xgboost_static,1556,393444,0.0,0.0,0.0,0.9999927282333374,80.32439494132996
Infiltration,ffnn_naive,1556,393444,0.0,1.0166631083457875e-05,0.0,0.9998810887336731,493.24192452430725
Infiltration,gnn_naive,1556,393444,0.0,0.0013852034851211353,0.0,0.9999992251396179,309.46378803253174
Botnet,xgboost_static,4237,185763,0.0,0.0,0.0,0.9983195662498474,103.8189811706543
Botnet,ffnn_naive,4237,185763,0.0,4.3065626631783506e-05,0.0,0.9999997615814209,598.6287293434143
Botnet,gnn_naive,4237,185763,0.08520179372197309,0.0,0.15702479338842976,0.9602693319320679,356.72873163223267
