model,alpha,category,n,coverage,abstain_rate,threshold
gnn_ewc_replay,0.01,Benign,1791772,0.989976961354458,0.004848831212899855,5.841255187988281e-06
gnn_ewc_replay,0.01,BruteForce,2891,1.0,0.0,1.1920928955078125e-07
gnn_ewc_replay,0.01,DoS,53627,0.9827512260614989,0.01670800156637515,0.0
gnn_ewc_replay,0.01,WebAttack,11,0.9090909090909091,0.09090909090909091,
gnn_ewc_replay,0.01,Infiltration,1556,0.9922879177377892,0.004498714652956298,0.9294295310974121
gnn_ewc_replay,0.01,Botnet,4237,0.950436629690819,0.04909133821099835,4.172325134277344e-06
gnn_ewc_replay,0.01,DDoS,40906,0.9854055639759448,0.01459443602405515,1.3113021850585938e-06
gnn_ewc_replay,0.05,Benign,1791772,0.9666827029331857,0.02818159899808681,0.0
gnn_ewc_replay,0.05,BruteForce,2891,1.0,0.0,1.1920928955078125e-07
gnn_ewc_replay,0.05,DoS,53627,0.9827512260614989,0.01724877393850113,0.0
gnn_ewc_replay,0.05,WebAttack,11,0.9090909090909091,0.09090909090909091,
gnn_ewc_replay,0.05,Infiltration,1556,0.9730077120822622,0.02442159383033419,0.5208315849304199
gnn_ewc_replay,0.05,Botnet,4237,0.8952088742034459,0.10479112579655417,2.1457672119140625e-06
gnn_ewc_replay,0.05,DDoS,40906,0.9524519630372072,0.04754803696279274,5.960464477539062e-07
gnn_ewc_replay,0.1,Benign,1791772,0.9666827029331857,0.03331729706681431,0.0
gnn_ewc_replay,0.1,BruteForce,2891,1.0,0.0,1.1920928955078125e-07
gnn_ewc_replay,0.1,DoS,53627,0.9827512260614989,0.01724877393850113,0.0
gnn_ewc_replay,0.1,WebAttack,11,0.5454545454545454,0.45454545454545453,
gnn_ewc_replay,0.1,Infiltration,1556,0.9055269922879178,0.09190231362467867,0.0025985240936279297
gnn_ewc_replay,0.1,Botnet,4237,0.8810479112579656,0.11895208874203446,1.0728836059570312e-06
gnn_ewc_replay,0.1,DDoS,40906,0.859727179386887,0.140272820613113,3.5762786865234375e-07
ffnn_ewc_replay,0.01,Benign,1791772,0.9904044711045825,0.009410237463248672,0.003632664680480957
ffnn_ewc_replay,0.01,BruteForce,2891,1.0,0.0,0.0
ffnn_ewc_replay,0.01,DoS,53627,0.996382419303709,0.003020866354634792,0.0
ffnn_ewc_replay,0.01,WebAttack,11,0.9090909090909091,0.0,
ffnn_ewc_replay,0.01,Infiltration,1556,0.9858611825192802,0.014138817480719794,0.025179743766784668
ffnn_ewc_replay,0.01,Botnet,4237,0.99645975926363,0.003540240736370073,0.0
ffnn_ewc_replay,0.01,DDoS,40906,0.9995844130445412,0.0004155869554588569,0.0
ffnn_ewc_replay,0.05,Benign,1791772,0.9509519068274311,0.04897163255146302,8.702278137207031e-05
ffnn_ewc_replay,0.05,BruteForce,2891,1.0,0.0,0.0
ffnn_ewc_replay,0.05,DoS,53627,0.996382419303709,0.0032632815559326457,0.0
ffnn_ewc_replay,0.05,WebAttack,11,0.9090909090909091,0.0,
ffnn_ewc_replay,0.05,Infiltration,1556,0.9074550128534704,0.09254498714652956,0.0011771321296691895
ffnn_ewc_replay,0.05,Botnet,4237,0.99645975926363,0.003540240736370073,0.0
ffnn_ewc_replay,0.05,DDoS,40906,0.9995844130445412,0.0004155869554588569,0.0
ffnn_ewc_replay,0.1,Benign,1791772,0.8999766711389618,0.09995412362733651,1.2278556823730469e-05
ffnn_ewc_replay,0.1,BruteForce,2891,1.0,0.0,0.0
ffnn_ewc_replay,0.1,DoS,53627,0.996382419303709,0.0032632815559326457,0.0
ffnn_ewc_replay,0.1,WebAttack,11,0.9090909090909091,0.0,
ffnn_ewc_replay,0.1,Infiltration,1556,0.859254498714653,0.14074550128534705,0.00018471479415893555
ffnn_ewc_replay,0.1,Botnet,4237,0.99645975926363,0.003540240736370073,0.0
ffnn_ewc_replay,0.1,DDoS,40906,0.9995844130445412,0.0004155869554588569,0.0
