model,ip_mode,after_task,task_category,accuracy_seen,macro_f1_seen,fpr_seen,detection_rate_seen,retention_rate,retention_normalised,task0_accuracy,task0_macro_f1,current_task_recall,next_task_recall_before_training,train_seconds,train_steps,ewc_stability_ratio,ewc_lambda,ewc_gamma
xgboost_static,none,0,BruteForce,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,18.75108051300049,1,,,
xgboost_static,none,1,DoS,0.9042375,0.6498122273336281,0.0,0.0511518454297745,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,,,
xgboost_static,none,2,DDoS,0.9090990384615384,0.3904492693519814,0.0,0.0296731945641909,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,,,
xgboost_static,none,3,WebAttack,0.9278290076335878,0.392495537121072,0.0,0.0296710627597885,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,,,
xgboost_static,none,4,Infiltration,0.9436363636363636,0.3284629371898539,0.0,0.0292147771009485,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,,,
xgboost_static,none,5,Botnet,0.947051715039578,0.2817986541035015,0.0,0.0280156546673383,1.0,1.0,1.0,1.0,0.0,,0.0,0,,,
gnn_naive,none,0,BruteForce,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,49.01815319061279,1250,,,
gnn_naive,none,1,DoS,0.9946517857142856,0.6585829590096881,1.9861683237931047e-05,0.9914540500371564,0.0,0.0,0.9834742857142856,0.4994341363760352,0.9982471516213848,0.0,108.94031429290771,2690,,,
gnn_naive,none,2,DDoS,0.9455826923076924,0.4924971283954352,7.95695182967455e-05,0.96201297368313,0.0,0.0,0.98348,0.495835602073124,1.0,0.5714285714285714,126.43583536148073,3380,,,
gnn_naive,none,3,WebAttack,0.9442541984732824,0.3453857186991997,1.979275337816942e-05,0.2809462718735567,0.0,0.0,0.9834628571428572,0.4958312446342039,1.0,0.0,65.29411840438843,1890,,,
gnn_naive,none,4,Infiltration,0.9374375366568914,0.2030921113022369,0.0057446751543733,0.0157489064662444,0.0,0.0,0.9477714285714286,0.4865927360206536,0.9948586118251928,0.0,91.48363971710204,2760,,,
