stream_index,window_id,ts,detector,prev_error,new_error,triggered_retrain,reason,n_detections,model,policy
13,197,2018-02-15T13:25:01.053176,ADWIN,5.6340496923182865e-05,0.00703125,True,error increased,2,gnn_ewc_replay,adwin
14,198,2018-02-15T13:27:52.163823,ADWIN,0.010684606252473288,0.015224358974358974,False,refractory period,2,gnn_ewc_replay,adwin
16,201,2018-02-15T13:37:20.802767,ADWIN,0.0027178016004831647,0.0875,False,refractory period,4,gnn_ewc_replay,adwin
19,205,2018-02-15T13:49:01.619726,ADWIN,0.0007230657989877079,0.002136752136752137,True,error increased,5,gnn_ewc_replay,adwin
22,209,2018-02-15T13:58:40.849892,ADWIN,0.0014649459365190093,0.0004069010416666667,False,error decreased,1,gnn_ewc_replay,adwin
34,227,2018-02-15T14:58:49.520953,ADWIN,0.0002508067617502968,0.06770833333333333,True,error increased,2,gnn_ewc_replay,adwin
35,228,2018-02-15T15:01:35.503923,ADWIN,0.008238429852192876,0.125,False,refractory period,1,gnn_ewc_replay,adwin
36,229,2018-02-15T15:04:53.594861,ADWIN,0.014047410008779631,0.041666666666666664,False,refractory period,1,gnn_ewc_replay,adwin
37,231,2018-02-15T15:10:43.113137,ADWIN,0.0076175466246388235,0.0036407766990291263,False,error decreased,1,gnn_ewc_replay,adwin
40,235,2018-02-15T15:22:01.717726,ADWIN,0.002429256122381984,0.021484375,True,error increased,1,gnn_ewc_replay,adwin
42,238,2018-02-15T15:30:42.194109,ADWIN,0.0015245354930919486,0.0,False,error decreased,1,gnn_ewc_replay,adwin
181,437,2018-02-16T17:43:24.921728,ADWIN,2.8752859112427993e-05,0.006859756097560976,True,error increased,1,gnn_ewc_replay,adwin
182,438,2018-02-16T17:45:30.415800,ADWIN,0.9349112426035503,0.453125,False,error decreased,1,gnn_ewc_replay,adwin
294,598,2018-02-20T14:14:31.781558,ADWIN,2.3195770518889385e-05,0.028645833333333332,True,error increased,3,gnn_ewc_replay,adwin
295,599,2018-02-20T14:16:42.779716,ADWIN,0.261125413755057,0.24456521739130435,False,error decreased,1,gnn_ewc_replay,adwin
