model,ip_mode,after_task,after_task_category,scope,metric,value
gnn_ewc_replay,none,0,BruteForce,task0,n,175000.0
gnn_ewc_replay,none,0,BruteForce,task0,n_benign,172109.0
gnn_ewc_replay,none,0,BruteForce,task0,n_attack,2891.0
gnn_ewc_replay,none,0,BruteForce,task0,accuracy,1.0
gnn_ewc_replay,none,0,BruteForce,task0,macro_f1,1.0
gnn_ewc_replay,none,0,BruteForce,task0,fpr,0.0
gnn_ewc_replay,none,0,BruteForce,task0,detection_rate,1.0
gnn_ewc_replay,none,0,BruteForce,task0,binary_f1,1.0
gnn_ewc_replay,none,0,BruteForce,task0,category_recall,1.0
gnn_ewc_replay,none,0,BruteForce,task1,n,385000.0
gnn_ewc_replay,none,0,BruteForce,task1,n_benign,331373.0
gnn_ewc_replay,none,0,BruteForce,task1,n_attack,53627.0
gnn_ewc_replay,none,0,BruteForce,task1,accuracy,0.8607090909090909
gnn_ewc_replay,none,0,BruteForce,task1,macro_f1,0.4994114783573238
gnn_ewc_replay,none,0,BruteForce,task1,fpr,0.0
gnn_ewc_replay,none,0,BruteForce,task1,detection_rate,0.985436440598952
gnn_ewc_replay,none,0,BruteForce,task1,binary_f1,0.9926648070402825
gnn_ewc_replay,none,0,BruteForce,task1,category_recall,0.0
gnn_ewc_replay,none,0,BruteForce,task2,n,480000.0
gnn_ewc_replay,none,0,BruteForce,task2,n_benign,439090.0
gnn_ewc_replay,none,0,BruteForce,task2,n_attack,40910.0
gnn_ewc_replay,none,0,BruteForce,task2,accuracy,0.91476875
gnn_ewc_replay,none,0,BruteForce,task2,macro_f1,0.3187732837919217
gnn_ewc_replay,none,0,BruteForce,task2,fpr,2.277437427406682e-06
gnn_ewc_replay,none,0,BruteForce,task2,detection_rate,0.01955512099731117
gnn_ewc_replay,none,0,BruteForce,task2,binary_f1,0.03835918582628084
gnn_ewc_replay,none,0,BruteForce,task2,category_recall,0.0
gnn_ewc_replay,none,0,BruteForce,task3,n,270000.0
gnn_ewc_replay,none,0,BruteForce,task3,n_benign,269993.0
gnn_ewc_replay,none,0,BruteForce,task3,n_attack,7.0
gnn_ewc_replay,none,0,BruteForce,task3,accuracy,0.9999703703703704
gnn_ewc_replay,none,0,BruteForce,task3,macro_f1,0.4999925924828516
gnn_ewc_replay,none,0,BruteForce,task3,fpr,3.7037997281411e-06
gnn_ewc_replay,none,0,BruteForce,task3,detection_rate,0.0
gnn_ewc_replay,none,0,BruteForce,task3,binary_f1,0.0
gnn_ewc_replay,none,0,BruteForce,task3,category_recall,0.0
gnn_ewc_replay,none,0,BruteForce,task4,n,395000.0
gnn_ewc_replay,none,0,BruteForce,task4,n_benign,393444.0
gnn_ewc_replay,none,0,BruteForce,task4,n_attack,1556.0
gnn_ewc_replay,none,0,BruteForce,task4,accuracy,0.9960582278481013
gnn_ewc_replay,none,0,BruteForce,task4,macro_f1,0.499012610930657
gnn_ewc_replay,none,0,BruteForce,task4,fpr,2.5416577708644688e-06
gnn_ewc_replay,none,0,BruteForce,task4,detection_rate,0.0
gnn_ewc_replay,none,0,BruteForce,task4,binary_f1,0.0
gnn_ewc_replay,none,0,BruteForce,task4,category_recall,0.0
gnn_ewc_replay,none,0,BruteForce,task5,n,190000.0
gnn_ewc_replay,none,0,BruteForce,task5,n_benign,185763.0
gnn_ewc_replay,none,0,BruteForce,task5,n_attack,4237.0
gnn_ewc_replay,none,0,BruteForce,task5,accuracy,0.9777
gnn_ewc_replay,none,0,BruteForce,task5,macro_f1,0.4943621378368812
gnn_ewc_replay,none,0,BruteForce,task5,fpr,0.0
gnn_ewc_replay,none,0,BruteForce,task5,detection_rate,0.0
gnn_ewc_replay,none,0,BruteForce,task5,binary_f1,0.0
gnn_ewc_replay,none,0,BruteForce,task5,category_recall,0.0
gnn_ewc_replay,none,0,BruteForce,seen,n,175000.0
gnn_ewc_replay,none,0,BruteForce,seen,n_benign,172109.0
gnn_ewc_replay,none,0,BruteForce,seen,n_attack,2891.0
gnn_ewc_replay,none,0,BruteForce,seen,accuracy,1.0
gnn_ewc_replay,none,0,BruteForce,seen,macro_f1,1.0
gnn_ewc_replay,none,0,BruteForce,seen,fpr,0.0
gnn_ewc_replay,none,0,BruteForce,seen,detection_rate,1.0
gnn_ewc_replay,none,0,BruteForce,seen,binary_f1,1.0
gnn_ewc_replay,none,0,BruteForce,all,n,1895000.0
gnn_ewc_replay,none,0,BruteForce,all,n_benign,1791772.0
gnn_ewc_replay,none,0,BruteForce,all,n_attack,103228.0
gnn_ewc_replay,none,0,BruteForce,all,accuracy,0.9470501319261214
gnn_ewc_replay,none,0,BruteForce,all,macro_f1,0.15491810780763232
gnn_ewc_replay,none,0,BruteForce,all,fpr,1.6743201702002264e-06
gnn_ewc_replay,none,0,BruteForce,all,detection_rate,0.5476905490758321
gnn_ewc_replay,none,0,BruteForce,all,binary_f1,0.7077387211456612
gnn_ewc_replay,permute,0,BruteForce,task0,n,175000.0
gnn_ewc_replay,permute,0,BruteForce,task0,n_benign,172109.0
gnn_ewc_replay,permute,0,BruteForce,task0,n_attack,2891.0
gnn_ewc_replay,permute,0,BruteForce,task0,accuracy,1.0
gnn_ewc_replay,permute,0,BruteForce,task0,macro_f1,1.0
gnn_ewc_replay,permute,0,BruteForce,task0,fpr,0.0
gnn_ewc_replay,permute,0,BruteForce,task0,detection_rate,1.0
gnn_ewc_replay,permute,0,BruteForce,task0,binary_f1,1.0
gnn_ewc_replay,permute,0,BruteForce,task0,category_recall,1.0
gnn_ewc_replay,permute,0,BruteForce,task1,n,385000.0
gnn_ewc_replay,permute,0,BruteForce,task1,n_benign,331373.0
gnn_ewc_replay,permute,0,BruteForce,task1,n_attack,53627.0
gnn_ewc_replay,permute,0,BruteForce,task1,accuracy,0.8607090909090909
gnn_ewc_replay,permute,0,BruteForce,task1,macro_f1,0.4994114783573238
gnn_ewc_replay,permute,0,BruteForce,task1,fpr,0.0
gnn_ewc_replay,permute,0,BruteForce,task1,detection_rate,0.985436440598952
gnn_ewc_replay,permute,0,BruteForce,task1,binary_f1,0.9926648070402825
gnn_ewc_replay,permute,0,BruteForce,task1,category_recall,0.0
gnn_ewc_replay,permute,0,BruteForce,task2,n,480000.0
gnn_ewc_replay,permute,0,BruteForce,task2,n_benign,439090.0
gnn_ewc_replay,permute,0,BruteForce,task2,n_attack,40910.0
gnn_ewc_replay,permute,0,BruteForce,task2,accuracy,0.91476875
gnn_ewc_replay,permute,0,BruteForce,task2,macro_f1,0.3187732837919217
gnn_ewc_replay,permute,0,BruteForce,task2,fpr,2.277437427406682e-06
gnn_ewc_replay,permute,0,BruteForce,task2,detection_rate,0.01955512099731117
gnn_ewc_replay,permute,0,BruteForce,task2,binary_f1,0.03835918582628084
gnn_ewc_replay,permute,0,BruteForce,task2,category_recall,0.0
gnn_ewc_replay,permute,0,BruteForce,task3,n,270000.0
gnn_ewc_replay,permute,0,BruteForce,task3,n_benign,269993.0
gnn_ewc_replay,permute,0,BruteForce,task3,n_attack,7.0
gnn_ewc_replay,permute,0,BruteForce,task3,accuracy,0.9999703703703704
gnn_ewc_replay,permute,0,BruteForce,task3,macro_f1,0.4999925924828516
gnn_ewc_replay,permute,0,BruteForce,task3,fpr,3.7037997281411e-06
gnn_ewc_replay,permute,0,BruteForce,task3,detection_rate,0.0
gnn_ewc_replay,permute,0,BruteForce,task3,binary_f1,0.0
gnn_ewc_replay,permute,0,BruteForce,task3,category_recall,0.0
gnn_ewc_replay,permute,0,BruteForce,task4,n,395000.0
gnn_ewc_replay,permute,0,BruteForce,task4,n_benign,393444.0
gnn_ewc_replay,permute,0,BruteForce,task4,n_attack,1556.0
gnn_ewc_replay,permute,0,BruteForce,task4,accuracy,0.9960582278481013
gnn_ewc_replay,permute,0,BruteForce,task4,macro_f1,0.499012610930657
gnn_ewc_replay,permute,0,BruteForce,task4,fpr,2.5416577708644688e-06
gnn_ewc_replay,permute,0,BruteForce,task4,detection_rate,0.0
gnn_ewc_replay,permute,0,BruteForce,task4,binary_f1,0.0
gnn_ewc_replay,permute,0,BruteForce,task4,category_recall,0.0
gnn_ewc_replay,permute,0,BruteForce,task5,n,190000.0
gnn_ewc_replay,permute,0,BruteForce,task5,n_benign,185763.0
gnn_ewc_replay,permute,0,BruteForce,task5,n_attack,4237.0
gnn_ewc_replay,permute,0,BruteForce,task5,accuracy,0.9777
gnn_ewc_replay,permute,0,BruteForce,task5,macro_f1,0.4943621378368812
gnn_ewc_replay,permute,0,BruteForce,task5,fpr,0.0
gnn_ewc_replay,permute,0,BruteForce,task5,detection_rate,0.0
gnn_ewc_replay,permute,0,BruteForce,task5,binary_f1,0.0
gnn_ewc_replay,permute,0,BruteForce,task5,category_recall,0.0
gnn_ewc_replay,permute,0,BruteForce,seen,n,175000.0
gnn_ewc_replay,permute,0,BruteForce,seen,n_benign,172109.0
gnn_ewc_replay,permute,0,BruteForce,seen,n_attack,2891.0
gnn_ewc_replay,permute,0,BruteForce,seen,accuracy,1.0
gnn_ewc_replay,permute,0,BruteForce,seen,macro_f1,1.0
gnn_ewc_replay,permute,0,BruteForce,seen,fpr,0.0
gnn_ewc_replay,permute,0,BruteForce,seen,detection_rate,1.0
gnn_ewc_replay,permute,0,BruteForce,seen,binary_f1,1.0
gnn_ewc_replay,permute,0,BruteForce,all,n,1895000.0
