auroc,tpr,fpr_known,n_known,n_novel,model,after_task,known_categories,novel_category,method,threshold,flag_precision_next_task,flagged_next_task
0.9926721614645077,0.9856229138307196,0.0186,175000,53627,gnn_ewc_replay,0,"Benign,BruteForce",DoS,msp,0.0,0.9829651119541769,53772
0.9987881101470741,0.9953381692058105,0.05284,175000,53627,gnn_ewc_replay,0,"Benign,BruteForce",DoS,energy,-34.25580596923828,0.792472719174523,67355
0.995596642576101,0.9856229138307196,0.04644,175000,53627,gnn_ewc_replay,0,"Benign,BruteForce",DoS,prototype,0.010745406150817871,0.7820091729545791,67590
0.8490241866587857,0.6949102821102039,0.05721071428571429,560000,40906,gnn_ewc_replay,1,"Benign,BruteForce,DoS",DDoS,msp,9.5367431640625e-06,0.9987702470046731,28461
0.9612822733392237,0.7147362245147411,0.0582125,560000,40906,gnn_ewc_replay,1,"Benign,BruteForce,DoS",DDoS,energy,-14.207229614257812,0.9965913351740123,29337
0.9994002762867481,1.0,0.0546,560000,40906,gnn_ewc_replay,1,"Benign,BruteForce,DoS",DDoS,prototype,0.010026698932051659,0.7397909357253951,55294
0.8529767010092897,0.7142857142857143,0.009276958757533683,1039996,7,gnn_ewc_replay,2,"Benign,BruteForce,DoS,DDoS",WebAttack,msp,0.0,0.013736263736263736,364
0.9853966471299616,0.8571428571428571,0.05756945219020073,1039996,7,gnn_ewc_replay,2,"Benign,BruteForce,DoS,DDoS",WebAttack,energy,-16.76190757751465,0.01744186046511628,344
0.9998781588720396,1.0,0.04409728498955765,1039996,7,gnn_ewc_replay,2,"Benign,BruteForce,DoS,DDoS",WebAttack,prototype,0.025774305686354637,0.0009522513943681131,7351
0.47650419847328246,0.0,0.04699160305343512,1310000,1556,gnn_ewc_replay,3,"Benign,BruteForce,DoS,DDoS,WebAttack",Infiltration,msp,0.0,0.0,1057
0.27061914627445594,0.0,0.05272213740458015,1310000,1556,gnn_ewc_replay,3,"Benign,BruteForce,DoS,DDoS,WebAttack",Infiltration,energy,-15.791054725646973,0.0,503
0.8417239113797367,0.2210796915167095,0.045957251908396946,1310000,1556,gnn_ewc_replay,3,"Benign,BruteForce,DoS,DDoS,WebAttack",Infiltration,prototype,0.01694096066057682,0.02753541983510766,12493
0.9973543762289618,0.9995279679018173,0.05262873900293255,1705000,4237,gnn_ewc_replay,4,"Benign,BruteForce,DoS,DDoS,WebAttack,Infiltration",Botnet,msp,2.0503997802734375e-05,0.39855072463768115,10626
0.9928381619956023,0.9995279679018173,0.05078651026392962,1705000,4237,gnn_ewc_replay,4,"Benign,BruteForce,DoS,DDoS,WebAttack,Infiltration",Botnet,energy,-15.137871742248535,0.5027899798171673,8423
0.9140801483509677,0.47108803398631105,0.05019061583577713,1705000,4237,gnn_ewc_replay,4,"Benign,BruteForce,DoS,DDoS,WebAttack,Infiltration",Botnet,prototype,0.11054831743240356,0.15798638594269432,12634
0.48581846937443557,0.00423294236112406,0.032554285714285716,175000,53627,ffnn_ewc_replay,0,"Benign,BruteForce",DoS,msp,0.0,0.02631578947368421,8626
0.8542985047510716,0.0029089824155742443,0.05009142857142857,175000,53627,ffnn_ewc_replay,0,"Benign,BruteForce",DoS,energy,-12.311685562133789,0.009095149253731344,17152
0.6271172008769569,0.015812930053890763,0.05470285714285714,175000,53627,ffnn_ewc_replay,0,"Benign,BruteForce",DoS,prototype,0.015966519713401794,0.04130741877344245,20529
0.5097050576321323,0.023566225003666945,0.0042107142857142855,560000,40906,ffnn_ewc_replay,1,"Benign,BruteForce,DoS",DDoS,msp,0.0,0.3894949494949495,2475
0.9123370038057638,0.4682442673446438,0.053575,560000,40906,ffnn_ewc_replay,1,"Benign,BruteForce,DoS",DDoS,energy,-19.578907012939453,0.42024661020667864,45578
0.9734178134669381,0.9872634821297609,0.05447142857142857,560000,40906,ffnn_ewc_replay,1,"Benign,BruteForce,DoS",DDoS,prototype,0.09636393934488297,0.592424709178659,68169
0.6415894868826418,0.2857142857142857,0.002246162485240328,1039996,7,ffnn_ewc_replay,2,"Benign,BruteForce,DoS,DDoS",WebAttack,msp,0.0,0.003816793893129771,524
0.9484035103431716,0.8571428571428571,0.05372809126188947,1039996,7,ffnn_ewc_replay,2,"Benign,BruteForce,DoS,DDoS",WebAttack,energy,-22.1278018951416,0.0004613255420575119,13006
0.9998604390236666,1.0,0.04950115192750741,1039996,7,ffnn_ewc_replay,2,"Benign,BruteForce,DoS,DDoS",WebAttack,prototype,0.13337671756744385,0.00047489823609226593,14740
0.5006984713200809,0.007712082262210797,0.006361832061068703,1310000,1556,ffnn_ewc_replay,3,"Benign,BruteForce,DoS,DDoS,WebAttack",Infiltration,msp,0.0,0.006082108464267613,1973
0.0552498273121529,0.007712082262210797,0.051461832061068705,1310000,1556,ffnn_ewc_replay,3,"Benign,BruteForce,DoS,DDoS,WebAttack",Infiltration,energy,-21.074953079223633,0.0006356605572624219,18878
0.4604755077611413,0.007712082262210797,0.0501824427480916,1310000,1556,ffnn_ewc_replay,3,"Benign,BruteForce,DoS,DDoS,WebAttack",Infiltration,prototype,0.11133767664432526,0.0006223743581764431,19281
0.9964259203068624,0.9997639839509087,0.04955190615835777,1705000,4237,ffnn_ewc_replay,4,"Benign,BruteForce,DoS,DDoS,WebAttack,Infiltration",Botnet,msp,0.00017023086547851562,0.3479832416002629,12173
0.6206634847873468,0.0,0.049913196480938414,1705000,4237,ffnn_ewc_replay,4,"Benign,BruteForce,DoS,DDoS,WebAttack,Infiltration",Botnet,energy,-3.801713705062866,0.0,8376
0.8382287338811767,0.0,0.052397067448680355,1705000,4237,ffnn_ewc_replay,4,"Benign,BruteForce,DoS,DDoS,WebAttack,Infiltration",Botnet,prototype,0.20363500714302063,0.0,8753
